,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,128,0,0,0,0,0,0,0,0,0,0
GID_2,162,160,136,0,0,0,0,0,0,0,0
GID_3,412,608,478,365,334,381,0,0,0,0,0
GID_4,110,0,0,0,0,0,0,0,0,0,0
GID_5,742,821,955,923,792,586,574,904,604,812,928
GID_6,1280,915,895,1379,1486,1551,1865,1912,1805,2063,2639
GID_7,112,102,0,0,0,0,0,0,0,0,0
GID_8,155,297,266,413,398,318,322,343,114,0,0
GID_9,0,239,0,0,0,0,0,0,0,0,0
GID_10,0,123,0,0,0,0,0,0,0,0,0
GID_11,0,0,0,124,0,0,0,0,0,0,0
GID_12,0,0,0,118,0,0,0,0,0,0,0
GID_13,0,0,0,128,126,0,0,0,0,0,0
GID_14,0,0,0,237,0,0,0,0,0,0,0
GID_15,0,0,0,0,108,0,0,0,0,0,0
GID_16,0,0,0,0,102,0,0,0,0,0,0
GID_17,0,0,0,0,0,107,183,0,0,0,0
GID_18,0,0,0,0,0,102,0,0,0,0,0
GID_19,0,0,0,0,0,115,122,171,0,0,0
GID_20,0,0,0,0,0,0,176,207,168,436,352
GID_21,0,0,0,0,0,0,126,0,0,0,0
GID_22,0,0,0,0,0,0,122,0,0,0,0
GID_23,0,0,0,0,0,0,127,0,0,0,0
GID_24,0,0,0,0,0,0,0,103,267,102,115
GID_25,0,0,0,0,0,0,0,103,0,0,0
GID_26,0,0,0,0,0,0,0,124,180,0,0
GID_27,0,0,0,0,0,0,0,0,0,120,106
GID_28,0,0,0,0,0,0,0,0,0,125,215
GID_29,0,0,0,0,0,0,0,0,0,106,173
GID_30,0,0,0,0,0,0,0,0,0,0,106
GID_31,0,0,0,0,0,0,0,0,0,0,155
GID_32,0,0,0,0,0,0,0,0,0,0,105
