window_a,cluster_a,window_b,cluster_b
2001-2010,49,2002-2011,49
2001-2010,49,2002-2011,174
2001-2010,135,2002-2011,130
2001-2010,135,2002-2011,196
2001-2010,225,2002-2011,130
2001-2010,225,2002-2011,196
2001-2010,242,2002-2011,241
2001-2010,283,2002-2011,196
2001-2010,1017,2002-2011,1056
2001-2010,1154,2002-2011,1204
2001-2010,1317,2002-2011,1559
2001-2010,1317,2002-2011,1609
2001-2010,1336,2002-2011,1372
2001-2010,1459,2002-2011,1580
2002-2011,49,2003-2012,49
2002-2011,69,2003-2012,54
2002-2011,130,2003-2012,134
2002-2011,174,2003-2012,49
2002-2011,196,2003-2012,134
2002-2011,196,2003-2012,215
2002-2011,196,2003-2012,269
2002-2011,1056,2003-2012,943
2002-2011,1056,2003-2012,1066
2002-2011,1559,2003-2012,1515
2002-2011,1609,2003-2012,1515
2003-2012,49,2004-2013,37
2003-2012,49,2004-2013,77
2003-2012,49,2004-2013,194
2003-2012,49,2004-2013,264
2003-2012,54,2004-2013,55
2003-2012,134,2004-2013,85
2003-2012,215,2004-2013,85
2003-2012,269,2004-2013,85
2003-2012,943,2004-2013,1038
2003-2012,1066,2004-2013,1038
2003-2012,1190,2004-2013,993
2003-2012,1515,2004-2013,1533
2004-2013,37,2005-2014,50
2004-2013,55,2005-2014,49
2004-2013,77,2005-2014,109
2004-2013,85,2005-2014,70
2004-2013,85,2005-2014,134
2004-2013,171,2005-2014,49
2004-2013,194,2005-2014,109
2004-2013,264,2005-2014,109
2004-2013,993,2005-2014,909
2004-2013,993,2005-2014,1170
2004-2013,1038,2005-2014,1009
2004-2013,1533,2005-2014,1416
2004-2013,1577,2005-2014,1588
2005-2014,49,2006-2015,50
2005-2014,70,2006-2015,74
2005-2014,70,2006-2015,137
2005-2014,109,2006-2015,58
2005-2014,109,2006-2015,147
2005-2014,1009,2006-2015,1036
2005-2014,1170,2006-2015,1104
2005-2014,1416,2006-2015,1458
2006-2015,50,2007-2016,50
2006-2015,58,2007-2016,99
2006-2015,74,2007-2016,65
2006-2015,137,2007-2016,65
2006-2015,147,2007-2016,99
2006-2015,147,2007-2016,262
2006-2015,1104,2007-2016,957
2006-2015,1104,2007-2016,1172
2006-2015,1434,2007-2016,1401
2007-2016,50,2008-2017,51
2007-2016,65,2008-2017,74
2007-2016,68,2008-2017,72
2007-2016,99,2008-2017,72
2007-2016,262,2008-2017,72
2007-2016,1004,2008-2017,994
2007-2016,1172,2008-2017,1263
2007-2016,1401,2008-2017,1467
2007-2016,1561,2008-2017,1648
2008-2017,51,2009-2018,57
2008-2017,72,2009-2018,105
2008-2017,74,2009-2018,66
2008-2017,994,2009-2018,939
2008-2017,994,2009-2018,972
2008-2017,1122,2009-2018,1059
2008-2017,1263,2009-2018,1184
2008-2017,1467,2009-2018,1427
2009-2018,57,2010-2019,87
2009-2018,66,2010-2019,71
2009-2018,105,2010-2019,132
2009-2018,939,2010-2019,899
2009-2018,972,2010-2019,899
2009-2018,1059,2010-2019,1076
2009-2018,1184,2010-2019,1224
2009-2018,1427,2010-2019,1365
2010-2019,71,2011-2020,72
2010-2019,71,2011-2020,86
2010-2019,87,2011-2020,51
2010-2019,87,2011-2020,108
2010-2019,132,2011-2020,85
2010-2019,899,2011-2020,884
2010-2019,1076,2011-2020,1070
2010-2019,1224,2011-2020,1200
2010-2019,1365,2011-2020,1322
2010-2019,1470,2011-2020,1337
