time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,9155,1916,10,2412,4.6927896027082765
2002-2011,2002,2011,51398,9215,1932,14,2731,5.313436320479396
2003-2012,2003,2012,51398,8588,1825,10,2130,4.144130121794622
2004-2013,2004,2013,51398,9702,1933,11,2736,5.323164325460135
2005-2014,2005,2014,51398,9581,1881,10,2709,5.270633098564146
2006-2015,2006,2015,51398,9454,1909,10,2377,4.6246935678431065
2007-2016,2007,2016,51398,8988,1881,11,2437,4.741429627611969
2008-2017,2008,2017,51398,8528,1917,8,1937,3.768629129538114
2009-2018,2009,2018,51398,8641,1866,9,2158,4.198606949686758
2010-2019,2010,2019,51398,8710,1914,11,2312,4.498229503093506
2011-2020,2011,2020,51398,9287,1864,10,2819,5.484649208140394
