time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,6889,2165,1,125,0.24320012451846373
2002-2011,2002,2011,51398,6769,2121,3,400,0.7782403984590841
2003-2012,2003,2012,51398,6713,2148,2,289,0.5622786878866882
2004-2013,2004,2013,51398,7069,2235,2,334,0.6498307327133351
2005-2014,2005,2014,51398,7219,2198,3,412,0.8015876104128565
2006-2015,2006,2015,51398,7189,2224,1,222,0.43192342114479165
2007-2016,2007,2016,51398,7365,2197,3,426,0.8288260243589245
2008-2017,2008,2017,51398,7222,2183,5,624,1.214055021596171
2009-2018,2009,2018,51398,7477,2193,3,452,0.879411650258765
2010-2019,2010,2019,51398,7025,2187,2,228,0.4435970271216779
2011-2020,2011,2020,51398,7053,2194,1,111,0.21596171057239583
