global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,2,2001-2010,2002-2011,280,2,2001-2010; 2002-2011
2,1,2002-2011,2002-2011,114,1,2002-2011
3,1,2002-2011,2002-2011,131,1,2002-2011
4,9,2003-2012,2011-2020,1433,9,2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
5,2,2003-2012,2004-2013,257,2,2003-2012; 2004-2013
6,1,2005-2014,2005-2014,112,1,2005-2014
7,1,2005-2014,2005-2014,154,1,2005-2014
8,1,2007-2016,2007-2016,142,1,2007-2016
9,4,2007-2016,2010-2019,617,5,2007-2016; 2008-2017; 2009-2018; 2010-2019
10,2,2008-2017,2009-2018,264,2,2008-2017; 2009-2018
11,1,2008-2017,2008-2017,119,1,2008-2017
