time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,4957,1787,0,0,0.0
2002-2011,2002,2011,51398,4997,1794,1,144,0.28016654344527026
2003-2012,2003,2012,51398,5195,1799,1,154,0.2996225534067473
2004-2013,2004,2013,51398,5390,1874,0,0,0.0
2005-2014,2005,2014,51398,5456,1862,1,119,0.23152651854157752
2006-2015,2006,2015,51398,5406,1889,0,0,0.0
2007-2016,2007,2016,51398,5379,1908,0,0,0.0
2008-2017,2008,2017,51398,5222,1875,0,0,0.0
2009-2018,2009,2018,51398,5276,1886,0,0,0.0
2010-2019,2010,2019,51398,5045,1829,0,0,0.0
2011-2020,2011,2020,51398,4917,1835,2,251,0.4883458500330752
