,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.4488245180930115,2.281229292557669e-06
1,"arid_[2.0, 3.0)",0.01918300275172962,0.7964991211829453
2,"arid_[3.0, 6.0)",-0.267068503686292,0.005201916941565321
3,"arid_[6.0, 12.0)",-0.08962529781276658,0.17633843691437398
4,"arid_[12.0, 18.0)",-0.021066161817944774,0.7229808941964582
5,"arid_[18.0, 24.0)",-0.03832860571088121,0.35321573490141256
6,"arid_[24.0, 48.0)",-0.051918951816857725,0.58391007446126
7,"boreal_[1.0, 2.0)",0.11587163405651721,0.14140243101108976
8,"boreal_[2.0, 3.0)",0.04100636836179726,0.5219339425286758
9,"boreal_[3.0, 6.0)",0.21276940284856213,0.06207903273571745
10,"boreal_[6.0, 12.0)",-0.08210138230788878,0.2699957607482544
11,"boreal_[12.0, 18.0)",-0.19667469347988986,0.01110979845137048
12,"boreal_[18.0, 24.0)",-0.04132835228926332,0.3372816246989121
13,"boreal_[24.0, 48.0)",-0.04954297718983685,0.7925318965245929
14,"equatorial_[1.0, 2.0)",0.32069922643401405,0.008306715634387488
15,"equatorial_[2.0, 3.0)",0.15002734786153404,0.0968177908794216
16,"equatorial_[3.0, 6.0)",0.009829017295311278,0.8835146839176855
17,"equatorial_[6.0, 12.0)",-0.2502472913520473,0.046704562097730024
18,"equatorial_[12.0, 18.0)",0.02643971353899835,0.6308274425466617
19,"equatorial_[18.0, 24.0)",-0.012320459323925722,0.684899299080381
20,"equatorial_[24.0, 48.0)",-0.24442755445388611,0.014859758639144113
21,"ocean_[1.0, 2.0)",0.060798944634789374,0.8565195507009529
22,"ocean_[2.0, 3.0)",-0.20758312817972638,0.47994105015133437
23,"ocean_[3.0, 6.0)",-1.2706333946621353,0.006844046869602626
24,"ocean_[6.0, 12.0)",1.2337458244144726,0.13543702169230756
25,"ocean_[12.0, 18.0)",0.40519668894302974,0.2486830239845754
26,"ocean_[18.0, 24.0)",0.4340108803638884,0.1731266636108522
27,"ocean_[24.0, 48.0)",-0.6555358155143193,0.09465620922573505
28,"polar_[1.0, 2.0)",-0.20111973280307166,0.01581703908045414
29,"polar_[2.0, 3.0)",-0.130820579550545,0.019377394620139404
30,"polar_[3.0, 6.0)",-0.4008893183366363,0.0006140753733304874
31,"polar_[6.0, 12.0)",-0.07215595797680097,0.38143195512009076
32,"polar_[12.0, 18.0)",-0.13655229458112428,0.03422890162414334
33,"polar_[18.0, 24.0)",0.20428226803266827,0.016185882596131046
34,"polar_[24.0, 48.0)",0.7372556152155079,5.868623610720346e-05
35,"warm_temperate_[1.0, 2.0)",0.12763598588628233,0.07459754068782654
36,"warm_temperate_[2.0, 3.0)",-0.03266306961611448,0.674950344160489
37,"warm_temperate_[3.0, 6.0)",-0.5640263462787578,0.00015769996652189976
38,"warm_temperate_[6.0, 12.0)",-0.0862186189431821,0.24596840302395964
39,"warm_temperate_[12.0, 18.0)",-0.0756553598732113,0.09625285726481793
40,"warm_temperate_[18.0, 24.0)",0.262781891580141,0.0005616604746507782
41,"warm_temperate_[24.0, 48.0)",0.3681455172448408,0.0017131179968044134
