,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.06965556599833442,0.15977635813539187
1,"arid_[2.0, 3.0)",0.13546562722342315,0.009685113572445524
2,"arid_[3.0, 6.0)",0.007589523464518466,0.9238423617919277
3,"arid_[6.0, 12.0)",0.049788758561495304,0.6172786638881154
4,"arid_[12.0, 18.0)",-0.27793848837360907,0.00746892698568907
5,"arid_[18.0, 24.0)",0.007090229481087869,0.874738044799296
6,"arid_[24.0, 48.0)",0.008348783644748954,0.9189313982056173
7,"boreal_[1.0, 2.0)",0.3404891216003505,7.803405942864708e-05
8,"boreal_[2.0, 3.0)",0.17983624090751033,0.005417429826386386
9,"boreal_[3.0, 6.0)",-0.08335267279843492,0.3403536077494729
10,"boreal_[6.0, 12.0)",0.12821822320159165,0.2759001861239458
11,"boreal_[12.0, 18.0)",0.22637286725750075,0.05732053902278786
12,"boreal_[18.0, 24.0)",-0.12092865997999735,0.012624397852748603
13,"boreal_[24.0, 48.0)",-0.6706351201885214,0.038333127880797645
14,"equatorial_[1.0, 2.0)",0.030859865598263387,0.26681558193624266
15,"equatorial_[2.0, 3.0)",-0.07034329429150034,0.30901033989708976
16,"equatorial_[3.0, 6.0)",-0.12007784732595717,0.05566729003007851
17,"equatorial_[6.0, 12.0)",0.12005011155722059,0.12084449235225238
18,"equatorial_[12.0, 18.0)",0.11253912973828613,0.04549325184660356
19,"equatorial_[18.0, 24.0)",-0.07627829713568826,0.03829606110736221
20,"equatorial_[24.0, 48.0)",0.0032503318593725752,0.9610771827026705
21,"ocean_[1.0, 2.0)",-0.7881877140309375,0.09683674555605343
22,"ocean_[2.0, 3.0)",0.46854858952547457,0.4582979360177333
23,"ocean_[3.0, 6.0)",0.8441446862747379,0.01541164107285718
24,"ocean_[6.0, 12.0)",-1.1984344125117843,0.009156383136931939
25,"ocean_[12.0, 18.0)",-0.3339594235680149,0.47804128743320395
26,"ocean_[18.0, 24.0)",-0.8262836908612103,0.21343819494328914
27,"ocean_[24.0, 48.0)",1.83417196517173,0.001846393264475276
28,"polar_[1.0, 2.0)",0.43909628923222793,0.0153159857859026
29,"polar_[2.0, 3.0)",0.40667912164958026,0.002014045964457504
30,"polar_[3.0, 6.0)",-0.05199120402871651,0.5622112682931755
31,"polar_[6.0, 12.0)",0.25137788102079994,0.14900529275332475
32,"polar_[12.0, 18.0)",-0.26824185712010556,0.05964619466297084
33,"polar_[18.0, 24.0)",0.03847504904827743,0.6455328587750306
34,"polar_[24.0, 48.0)",-0.8153952798020666,0.02717058293859566
35,"warm_temperate_[1.0, 2.0)",0.16752574193401862,0.004319156537914027
36,"warm_temperate_[2.0, 3.0)",-0.005613517469904876,0.9263266924693699
37,"warm_temperate_[3.0, 6.0)",-0.07792582281366447,0.35604465256391715
38,"warm_temperate_[6.0, 12.0)",-0.01900428195704216,0.8600804030778842
39,"warm_temperate_[12.0, 18.0)",-0.17595001699555415,0.000937371177831215
40,"warm_temperate_[18.0, 24.0)",0.0695736290048017,0.10550325360072536
41,"warm_temperate_[24.0, 48.0)",0.04139426829734127,0.5628573777037461
