,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.019158031548646662,0.7118117664892205
1,"arid_[2.0, 3.0)",0.08765829732772767,0.1486083558182962
2,"arid_[3.0, 6.0)",-0.1489980449125473,0.28236362157478834
3,"arid_[6.0, 12.0)",0.36493723110747456,0.013368914527646441
4,"arid_[12.0, 18.0)",-0.09984954969980879,0.07595540591027918
5,"arid_[18.0, 24.0)",-0.0967011714392633,0.08116288186196775
6,"arid_[24.0, 48.0)",-0.1262047939322289,0.3603232642861053
7,"boreal_[1.0, 2.0)",0.5165403635582198,9.731410117241474e-05
8,"boreal_[2.0, 3.0)",0.01834504398122872,0.8851181457263586
9,"boreal_[3.0, 6.0)",-0.1817381443950895,0.24645810619207145
10,"boreal_[6.0, 12.0)",-0.17370348723434928,0.317551044091926
11,"boreal_[12.0, 18.0)",-0.1274454806727302,0.002373049594849533
12,"boreal_[18.0, 24.0)",-0.08239611183622876,0.22275085010036125
13,"boreal_[24.0, 48.0)",0.03039781659894738,0.8917504671379002
14,"equatorial_[1.0, 2.0)",0.08535970627575719,0.35338096757162296
15,"equatorial_[2.0, 3.0)",-0.08555541598716972,0.3124038035439268
16,"equatorial_[3.0, 6.0)",-0.3804287167363619,8.91736806822701e-06
17,"equatorial_[6.0, 12.0)",0.1417462071403962,0.07473599463020077
18,"equatorial_[12.0, 18.0)",0.16326275442478758,4.712241136415991e-05
19,"equatorial_[18.0, 24.0)",0.014162426503223696,0.7522292411456193
20,"equatorial_[24.0, 48.0)",0.061453038379365166,0.2692882958301751
21,"ocean_[1.0, 2.0)",-0.24250209157328576,0.4313719526527382
22,"ocean_[2.0, 3.0)",0.38211105521309,0.31119284979573586
23,"ocean_[3.0, 6.0)",-2.737999367061917,0.0003248847507136724
24,"ocean_[6.0, 12.0)",1.2774581675826628,0.04168280105633206
25,"ocean_[12.0, 18.0)",-0.10166546171203501,0.8152591577256995
26,"ocean_[18.0, 24.0)",0.7865325553941318,0.027669874979995655
27,"ocean_[24.0, 48.0)",0.6360651421573512,0.32254806293797184
28,"polar_[1.0, 2.0)",-0.0018941106840435554,0.9892527289559868
29,"polar_[2.0, 3.0)",0.12629868125273333,0.15794266531102988
30,"polar_[3.0, 6.0)",-0.4503387895670956,0.0110680871229624
31,"polar_[6.0, 12.0)",0.12099590497309104,0.09403012246233368
32,"polar_[12.0, 18.0)",0.1341266658774958,0.046226526057679476
33,"polar_[18.0, 24.0)",0.15158698821437533,0.10802039822241996
34,"polar_[24.0, 48.0)",-0.08077534006655801,0.7377476920675266
35,"warm_temperate_[1.0, 2.0)",0.12151653175839286,0.031926716999401854
36,"warm_temperate_[2.0, 3.0)",0.11505802179291391,0.060908287422017156
37,"warm_temperate_[3.0, 6.0)",-0.28058818276902303,0.031194705340397366
38,"warm_temperate_[6.0, 12.0)",-0.1718417460919561,0.055652831981490375
39,"warm_temperate_[12.0, 18.0)",0.0688391557995367,0.14186819710864618
40,"warm_temperate_[18.0, 24.0)",-0.11413223522211773,0.0753677707987892
41,"warm_temperate_[24.0, 48.0)",0.2611484547322521,0.03581960907856678
