,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,138,0,0,0,0,0,0,0,0,0,0
GID_2,315,295,303,337,367,539,279,285,568,462,683
GID_3,202,152,126,196,196,0,0,0,0,0,0
GID_4,179,128,0,0,0,0,0,0,0,0,0
GID_5,119,0,0,0,0,0,0,0,0,0,0
GID_6,1374,861,961,615,1132,1139,1369,1268,1174,1297,1111
GID_7,1365,781,770,747,814,622,800,777,500,360,119
GID_8,153,0,0,0,0,0,0,0,0,0,0
GID_9,575,528,585,380,417,199,242,213,263,249,396
GID_10,185,0,0,0,0,0,0,0,0,0,0
GID_11,234,238,0,0,0,0,0,0,0,0,0
GID_12,114,0,0,0,0,0,0,0,0,0,0
GID_13,0,0,120,0,0,0,0,0,0,0,0
GID_14,0,0,190,0,0,0,0,0,0,0,0
GID_15,0,0,181,165,0,0,0,0,0,0,0
GID_16,0,0,105,0,0,0,0,0,0,0,0
GID_17,0,0,0,0,109,0,0,0,0,0,0
GID_18,0,0,0,0,0,106,0,0,0,0,0
GID_19,0,0,0,0,0,0,382,164,130,215,146
GID_20,0,0,0,0,0,0,103,144,0,0,0
GID_21,0,0,0,0,0,0,181,134,120,0,0
GID_22,0,0,0,0,0,0,0,115,128,127,105
GID_23,0,0,0,0,0,0,0,127,0,0,0
GID_24,0,0,0,0,0,0,0,154,0,0,0
GID_25,0,0,0,0,0,0,0,154,121,0,0
GID_26,0,0,0,0,0,0,0,0,189,0,0
GID_27,0,0,0,0,0,0,0,0,0,148,119
GID_28,0,0,0,0,0,0,0,0,0,0,101
GID_29,0,0,0,0,0,0,0,0,0,0,102
