,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,314,517,589,598,718,614,687,599,432,186,160
GID_2,405,374,489,402,363,456,378,576,527,470,456
GID_3,138,134,119,112,141,113,0,0,0,0,0
GID_4,824,561,855,635,887,1086,907,668,745,721,862
GID_5,1321,1690,1506,1469,1746,1725,1714,1740,1743,1793,1647
GID_6,183,339,367,359,116,489,223,301,461,477,640
GID_7,0,113,0,0,0,0,0,0,0,0,0
GID_8,0,107,116,142,106,190,118,0,0,0,0
GID_9,0,103,0,0,0,0,0,0,0,0,0
GID_10,0,140,181,0,0,0,0,0,0,0,0
GID_11,0,164,146,0,0,0,0,0,0,0,0
GID_12,0,0,108,0,0,0,0,0,0,0,0
GID_13,0,0,0,167,109,0,0,0,0,0,0
GID_14,0,0,0,165,175,187,131,0,0,0,0
GID_15,0,0,0,0,0,0,0,159,169,210,0
GID_16,0,0,0,0,0,0,0,101,123,101,0
GID_17,0,0,0,0,0,0,0,0,126,0,0
GID_18,0,0,0,0,0,0,0,0,158,129,0
GID_19,0,0,0,0,0,0,0,0,178,171,188
GID_20,0,0,0,0,0,0,0,0,0,118,0
GID_21,0,0,0,0,0,0,0,0,0,154,120
GID_22,0,0,0,0,0,0,0,0,0,0,188
GID_23,0,0,0,0,0,0,0,0,0,0,109
