time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,8198,1969,9,1649,3.2082960426475737
2002-2011,2002,2011,51398,8306,1897,10,2011,3.9126036032530447
2003-2012,2003,2012,51398,8202,1939,8,1403,2.729678197595237
2004-2013,2004,2013,51398,8305,2035,9,1440,2.8016654344527026
2005-2014,2005,2014,51398,8010,2017,7,1186,2.307482781431184
2006-2015,2006,2015,51398,8107,2001,6,1372,2.669364566714658
2007-2016,2007,2016,51398,7955,2027,4,767,1.4922759640452936
2008-2017,2008,2017,51398,7530,1945,4,706,1.3735943032802833
2009-2018,2009,2018,51398,7870,1939,7,1018,1.9806218140783687
2010-2019,2010,2019,51398,7818,1945,6,1286,2.502042881045955
2011-2020,2011,2020,51398,7302,1991,7,998,1.9417097941554144
