time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,7695,2380,5,842,1.6381960387563719
2002-2011,2002,2011,51398,7752,2434,4,725,1.4105607222070897
2003-2012,2003,2012,51398,7652,2295,5,953,1.8541577493287678
2004-2013,2004,2013,51398,7532,2414,3,446,0.8677380442818787
2005-2014,2005,2014,51398,7341,2401,3,417,0.8113156153935951
2006-2015,2006,2015,51398,7620,2430,5,843,1.6401416397525195
2007-2016,2007,2016,51398,7582,2409,5,732,1.4241799291801238
2008-2017,2008,2017,51398,7429,2432,1,260,0.5058562589984046
2009-2018,2009,2018,51398,7581,2411,3,626,1.2179462235884664
2010-2019,2010,2019,51398,7488,2361,5,680,1.3230086773804428
2011-2020,2011,2020,51398,7278,2368,2,305,0.5934083038250515
