global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,1,2001-2010,2001-2010,151,1,2001-2010
2,11,2001-2010,2011-2020,3321,16,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
3,1,2001-2010,2001-2010,115,1,2001-2010
4,3,2001-2010,2003-2012,485,3,2001-2010; 2002-2011; 2003-2012
5,1,2001-2010,2001-2010,103,1,2001-2010
6,3,2002-2011,2004-2013,515,3,2002-2011; 2003-2012; 2004-2013
7,2,2002-2011,2003-2012,250,2,2002-2011; 2003-2012
8,5,2003-2012,2007-2016,808,5,2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016
9,2,2005-2014,2006-2015,211,2,2005-2014; 2006-2015
10,2,2006-2015,2007-2016,262,2,2006-2015; 2007-2016
11,2,2006-2015,2007-2016,241,2,2006-2015; 2007-2016
12,2,2009-2018,2010-2019,260,2,2009-2018; 2010-2019
13,1,2010-2019,2010-2019,107,1,2010-2019
