window_a,cluster_a,window_b,cluster_b
2001-2010,177,2002-2011,88
2001-2010,319,2002-2011,401
2002-2011,18,2003-2012,15
2002-2011,54,2003-2012,37
2002-2011,88,2003-2012,66
2002-2011,401,2003-2012,292
2003-2012,15,2004-2013,25
2003-2012,32,2004-2013,47
2003-2012,66,2004-2013,164
2004-2013,47,2005-2014,43
2004-2013,164,2005-2014,75
2005-2014,43,2006-2015,30
2005-2014,75,2006-2015,58
2005-2014,321,2006-2015,344
2006-2015,12,2007-2016,15
2006-2015,30,2007-2016,55
2006-2015,44,2007-2016,43
2006-2015,58,2007-2016,60
2006-2015,58,2007-2016,117
2007-2016,60,2008-2017,121
2007-2016,117,2008-2017,121
2008-2017,121,2009-2018,97
2009-2018,51,2010-2019,52
2009-2018,51,2010-2019,87
2009-2018,51,2010-2019,155
2009-2018,97,2010-2019,87
2009-2018,97,2010-2019,155
2009-2018,1363,2010-2019,1353
2010-2019,87,2011-2020,132
2010-2019,155,2011-2020,131
