time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,4751,2144,0,0,0.0
2002-2011,2002,2011,51398,4354,2042,0,0,0.0
2003-2012,2003,2012,51398,4750,2150,1,121,0.2354177205338729
2004-2013,2004,2013,51398,4151,1925,0,0,0.0
2005-2014,2005,2014,51398,4092,1949,0,0,0.0
2006-2015,2006,2015,51398,4080,1886,1,134,0.26071053348379314
2007-2016,2007,2016,51398,3938,1903,0,0,0.0
2008-2017,2008,2017,51398,4216,1970,0,0,0.0
2009-2018,2009,2018,51398,4005,1934,0,0,0.0
2010-2019,2010,2019,51398,4109,2017,0,0,0.0
2011-2020,2011,2020,51398,4220,1987,0,0,0.0
