time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3757,1520,1,154,0.2996225534067473
2002-2011,2002,2011,51398,3713,1545,0,0,0.0
2003-2012,2003,2012,51398,3888,1575,0,0,0.0
2004-2013,2004,2013,51398,3794,1534,0,0,0.0
2005-2014,2005,2014,51398,3766,1537,0,0,0.0
2006-2015,2006,2015,51398,3827,1441,0,0,0.0
2007-2016,2007,2016,51398,3710,1482,0,0,0.0
2008-2017,2008,2017,51398,3692,1478,1,106,0.20623370559165727
2009-2018,2009,2018,51398,3637,1475,0,0,0.0
2010-2019,2010,2019,51398,3716,1431,0,0,0.0
2011-2020,2011,2020,51398,3672,1391,1,102,0.19845130160706642
