time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3308,1727,0,0,0.0
2002-2011,2002,2011,51398,3171,1725,0,0,0.0
2003-2012,2003,2012,51398,3170,1671,0,0,0.0
2004-2013,2004,2013,51398,3365,1737,0,0,0.0
2005-2014,2005,2014,51398,3342,1714,0,0,0.0
2006-2015,2006,2015,51398,3614,1790,0,0,0.0
2007-2016,2007,2016,51398,3677,1728,0,0,0.0
2008-2017,2008,2017,51398,3524,1735,0,0,0.0
2009-2018,2009,2018,51398,3414,1714,0,0,0.0
2010-2019,2010,2019,51398,3440,1770,0,0,0.0
2011-2020,2011,2020,51398,3534,1757,0,0,0.0
