,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,591,544,560,547,561,620,489,418,454,543,400
GID_2,773,866,968,764,884,639,730,632,845,392,424
GID_3,723,720,732,831,964,1323,1304,979,1092,1335,1445
GID_4,130,0,0,0,0,0,0,0,0,0,0
GID_5,319,349,0,0,0,0,0,0,0,0,0
GID_6,199,0,0,0,0,0,0,0,0,0,0
GID_7,147,287,470,479,443,176,178,214,223,0,0
GID_8,0,104,0,0,0,0,0,0,0,0,0
GID_9,0,159,163,143,224,268,275,254,222,243,202
GID_10,0,119,0,0,0,0,0,0,0,0,0
GID_11,0,127,290,126,302,638,360,355,623,657,378
GID_12,0,113,110,0,0,0,0,0,0,0,0
GID_13,0,0,108,103,126,0,0,0,0,0,0
GID_14,0,0,108,0,0,0,0,0,0,0,0
GID_15,0,0,0,157,197,284,319,197,211,190,167
GID_16,0,0,0,115,132,161,259,246,224,160,0
GID_17,0,0,0,0,107,192,0,0,0,0,0
GID_18,0,0,0,0,113,108,0,0,0,0,0
GID_19,0,0,0,0,0,101,0,0,0,0,0
GID_20,0,0,0,0,0,119,0,0,0,0,0
GID_21,0,0,0,0,0,141,287,215,162,128,0
GID_22,0,0,0,0,0,125,115,0,0,0,0
GID_23,0,0,0,0,0,0,0,113,0,0,0
GID_24,0,0,0,0,0,0,0,103,0,0,0
GID_25,0,0,0,0,0,0,0,0,105,0,0
GID_26,0,0,0,0,0,0,0,0,106,0,0
GID_27,0,0,0,0,0,0,0,0,183,151,0
GID_28,0,0,0,0,0,0,0,0,0,133,0
GID_29,0,0,0,0,0,0,0,0,0,138,0
GID_30,0,0,0,0,0,0,0,0,0,0,110
GID_31,0,0,0,0,0,0,0,0,0,0,119
