time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,4531,1975,0,0,0.0
2002-2011,2002,2011,51398,4780,1972,0,0,0.0
2003-2012,2003,2012,51398,4511,1865,1,107,0.20817930658780498
2004-2013,2004,2013,51398,5163,2030,1,159,0.3093505583874859
2005-2014,2005,2014,51398,5410,2082,1,181,0.35215378030273553
2006-2015,2006,2015,51398,5694,2097,2,352,0.684851550643994
2007-2016,2007,2016,51398,5570,2166,2,229,0.44554262811782563
2008-2017,2008,2017,51398,5714,2086,0,0,0.0
2009-2018,2009,2018,51398,5619,2026,4,432,0.8404996303358108
2010-2019,2010,2019,51398,5568,2020,3,451,0.8774660492626173
2011-2020,2011,2020,51398,5261,1989,1,121,0.2354177205338729
