time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,9948,2061,13,2275,4.426242266236041
2002-2011,2002,2011,51398,9698,2034,13,2612,5.081909801937819
2003-2012,2003,2012,51398,10133,1996,13,2834,5.51383322308261
2004-2013,2004,2013,51398,10120,2025,15,2977,5.792054165531733
2005-2014,2005,2014,51398,10016,2050,12,2542,4.945717732207479
2006-2015,2006,2015,51398,10136,2082,13,2683,5.220047472664306
2007-2016,2007,2016,51398,10830,1998,15,3299,6.4185376862912955
2008-2017,2008,2017,51398,10370,2045,13,2800,5.447682789213588
2009-2018,2009,2018,51398,10409,2026,14,3049,5.932137437254368
2010-2019,2010,2019,51398,10214,2030,13,2894,5.630569282851472
2011-2020,2011,2020,51398,9874,2060,12,2486,4.836764076423207
