overlap_count,pixel_count,percentage
1,4902,40.56268100951593
2,2817,23.30988829127017
3,1464,12.114191146048821
4,1029,8.514687629292512
5,753,6.230864708316094
6,563,4.658667769962764
7,350,2.8961522548613985
8,106,0.8771203971865948
9,58,0.4799338022341746
10,29,0.2399669011170873
11,14,0.11584609019445595
