window_a,cluster_a,window_b,cluster_b
2001-2010,646,2002-2011,655
2001-2010,797,2002-2011,758
2001-2010,834,2002-2011,758
2001-2010,1134,2002-2011,941
2001-2010,1134,2002-2011,1077
2001-2010,1151,2002-2011,1119
2001-2010,1202,2002-2011,1224
2001-2010,1202,2002-2011,1379
2001-2010,1281,2002-2011,1077
2001-2010,1414,2002-2011,1392
2001-2010,1621,2002-2011,1623
2002-2011,63,2003-2012,87
2002-2011,655,2003-2012,627
2002-2011,720,2003-2012,628
2002-2011,758,2003-2012,745
2002-2011,1077,2003-2012,1083
2002-2011,1077,2003-2012,1179
2002-2011,1119,2003-2012,1179
2002-2011,1237,2003-2012,1242
2002-2011,1379,2003-2012,1370
2002-2011,1392,2003-2012,1313
2003-2012,87,2004-2013,50
2003-2012,628,2004-2013,606
2003-2012,628,2004-2013,697
2003-2012,745,2004-2013,716
2003-2012,1083,2004-2013,1257
2003-2012,1111,2004-2013,1173
2003-2012,1179,2004-2013,1257
2003-2012,1242,2004-2013,1261
2003-2012,1313,2004-2013,1318
2003-2012,1313,2004-2013,1436
2003-2012,1370,2004-2013,1382
2003-2012,1370,2004-2013,1461
2003-2012,1509,2004-2013,1563
2004-2013,606,2005-2014,644
2004-2013,697,2005-2014,644
2004-2013,716,2005-2014,723
2004-2013,716,2005-2014,791
2004-2013,1257,2005-2014,1253
2004-2013,1318,2005-2014,1365
2004-2013,1382,2005-2014,1395
2004-2013,1382,2005-2014,1479
2004-2013,1461,2005-2014,1395
2004-2013,1563,2005-2014,1689
2004-2013,1662,2005-2014,1602
2005-2014,644,2006-2015,678
2005-2014,723,2006-2015,755
2005-2014,791,2006-2015,814
2005-2014,1090,2006-2015,1130
2005-2014,1253,2006-2015,1350
2005-2014,1395,2006-2015,1450
2005-2014,1479,2006-2015,1450
2005-2014,1479,2006-2015,1643
2005-2014,1602,2006-2015,1608
2005-2014,1605,2006-2015,1696
2005-2014,1623,2006-2015,1604
2005-2014,1689,2006-2015,1734
2006-2015,678,2007-2016,664
2006-2015,678,2007-2016,753
2006-2015,814,2007-2016,836
2006-2015,814,2007-2016,901
2006-2015,1130,2007-2016,1097
2006-2015,1350,2007-2016,1048
2006-2015,1450,2007-2016,1383
2006-2015,1450,2007-2016,1427
2006-2015,1604,2007-2016,1533
2006-2015,1608,2007-2016,1529
2006-2015,1643,2007-2016,1383
2006-2015,1734,2007-2016,1527
2007-2016,664,2008-2017,662
2007-2016,664,2008-2017,734
2007-2016,753,2008-2017,734
2007-2016,823,2008-2017,819
2007-2016,836,2008-2017,780
2007-2016,901,2008-2017,780
2007-2016,1048,2008-2017,1079
2007-2016,1048,2008-2017,1291
2007-2016,1383,2008-2017,1391
2007-2016,1427,2008-2017,1391
2007-2016,1529,2008-2017,1581
2007-2016,1533,2008-2017,1561
2008-2017,662,2009-2018,675
2008-2017,732,2009-2018,733
2008-2017,734,2009-2018,675
2008-2017,780,2009-2018,733
2008-2017,780,2009-2018,856
2008-2017,930,2009-2018,911
2008-2017,1079,2009-2018,1067
2008-2017,1391,2009-2018,1633
2008-2017,1557,2009-2018,1484
2008-2017,1561,2009-2018,1523
2008-2017,1564,2009-2018,1412
2008-2017,1581,2009-2018,1516
2009-2018,72,2010-2019,61
2009-2018,631,2010-2019,659
2009-2018,675,2010-2019,687
2009-2018,733,2010-2019,768
2009-2018,856,2010-2019,768
2009-2018,911,2010-2019,975
2009-2018,1067,2010-2019,1084
2009-2018,1110,2010-2019,1113
2009-2018,1516,2010-2019,1461
2009-2018,1523,2010-2019,1519
2009-2018,1633,2010-2019,1506
2010-2019,61,2011-2020,75
2010-2019,61,2011-2020,102
2010-2019,659,2011-2020,641
2010-2019,687,2011-2020,652
2010-2019,687,2011-2020,717
2010-2019,768,2011-2020,779
2010-2019,973,2011-2020,975
2010-2019,1113,2011-2020,1078
2010-2019,1506,2011-2020,1741
2010-2019,1519,2011-2020,1558
