time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,5720,2139,1,105,0.20428810459550956
2002-2011,2002,2011,51398,5963,2118,1,160,0.3112961593836336
2003-2012,2003,2012,51398,5873,2092,0,0,0.0
2004-2013,2004,2013,51398,5806,2071,0,0,0.0
2005-2014,2005,2014,51398,5615,2000,1,136,0.26460173547608856
2006-2015,2006,2015,51398,5621,2019,1,116,0.22568971555313438
2007-2016,2007,2016,51398,5126,1991,0,0,0.0
2008-2017,2008,2017,51398,5361,2071,1,113,0.21985291256469125
2009-2018,2009,2018,51398,5294,2082,0,0,0.0
2010-2019,2010,2019,51398,5432,2060,1,120,0.23347211953772523
2011-2020,2011,2020,51398,5287,2025,0,0,0.0
