time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,8912,2088,10,1683,3.274446476516596
2002-2011,2002,2011,51398,9866,2009,8,2401,4.671387991750652
2003-2012,2003,2012,51398,9723,1945,9,2383,4.636367173819993
2004-2013,2004,2013,51398,10582,2049,14,3426,6.6656290128020546
2005-2014,2005,2014,51398,10350,1940,13,3238,6.299856025526285
2006-2015,2006,2015,51398,10094,1997,10,2528,4.918479318261411
2007-2016,2007,2016,51398,9360,2025,7,1726,3.3581073193509474
2008-2017,2008,2017,51398,9519,2085,5,1961,3.815323553445659
2009-2018,2009,2018,51398,9770,2034,11,2807,5.461301996186622
2010-2019,2010,2019,51398,9337,1987,8,2019,3.9281684112222264
2011-2020,2011,2020,51398,8824,2008,8,1747,3.3989649402700497
