,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,307,192,0,0,0,0,0,0,0,0,0
GID_2,117,153,163,0,0,0,0,0,0,0,0
GID_3,121,133,0,0,0,0,0,0,0,0,0
GID_4,211,237,175,137,142,0,0,0,0,0,0
GID_5,124,0,0,0,0,0,0,0,0,0,0
GID_6,561,1121,827,894,903,805,885,1189,1279,1272,992
GID_7,107,136,0,0,0,0,0,0,0,0,0
GID_8,135,429,481,322,233,131,0,0,0,0,0
GID_9,0,0,114,159,187,165,0,0,0,0,0
GID_10,0,0,410,956,784,162,108,203,274,264,180
GID_11,0,0,213,422,123,0,0,0,0,0,0
GID_12,0,0,0,148,0,0,0,0,0,0,0
GID_13,0,0,0,130,124,0,0,0,0,0,0
GID_14,0,0,0,150,637,649,124,0,0,0,0
GID_15,0,0,0,108,0,0,0,0,0,0,0
GID_16,0,0,0,0,105,103,0,0,0,0,0
GID_17,0,0,0,0,0,133,0,0,0,0,0
GID_18,0,0,0,0,0,380,340,412,472,222,158
GID_19,0,0,0,0,0,0,112,0,0,0,0
GID_20,0,0,0,0,0,0,157,0,0,0,0
GID_21,0,0,0,0,0,0,0,157,0,0,0
GID_22,0,0,0,0,0,0,0,0,112,0,0
GID_23,0,0,0,0,0,0,0,0,123,0,0
GID_24,0,0,0,0,0,0,0,0,122,0,0
GID_25,0,0,0,0,0,0,0,0,132,129,0
GID_26,0,0,0,0,0,0,0,0,133,0,0
GID_27,0,0,0,0,0,0,0,0,160,132,0
GID_28,0,0,0,0,0,0,0,0,0,0,131
GID_29,0,0,0,0,0,0,0,0,0,0,126
GID_30,0,0,0,0,0,0,0,0,0,0,160
