window_a,cluster_a,window_b,cluster_b
2001-2010,77,2002-2011,100
2001-2010,95,2002-2011,74
2001-2010,158,2002-2011,143
2001-2010,605,2002-2011,617
2001-2010,1273,2002-2011,1108
2001-2010,1338,2002-2011,1161
2001-2010,1483,2002-2011,1108
2001-2010,1483,2002-2011,1430
2001-2010,1526,2002-2011,1430
2001-2010,1612,2002-2011,1511
2002-2011,74,2003-2012,73
2002-2011,617,2003-2012,685
2002-2011,1108,2003-2012,1053
2002-2011,1108,2003-2012,1313
2002-2011,1430,2003-2012,1313
2002-2011,1430,2003-2012,1406
2002-2011,1511,2003-2012,1483
2003-2012,685,2004-2013,755
2003-2012,801,2004-2013,847
2003-2012,1053,2004-2013,1168
2003-2012,1057,2004-2013,1026
2003-2012,1057,2004-2013,1317
2003-2012,1313,2004-2013,1168
2003-2012,1313,2004-2013,1347
2003-2012,1406,2004-2013,1347
2003-2012,1483,2004-2013,1513
2003-2012,1497,2004-2013,1487
2003-2012,1497,2004-2013,1498
2004-2013,755,2005-2014,647
2004-2013,847,2005-2014,740
2004-2013,1026,2005-2014,900
2004-2013,1026,2005-2014,939
2004-2013,1026,2005-2014,1048
2004-2013,1168,2005-2014,1009
2004-2013,1180,2005-2014,1048
2004-2013,1180,2005-2014,1202
2004-2013,1236,2005-2014,1110
2004-2013,1257,2005-2014,1123
2004-2013,1317,2005-2014,900
2004-2013,1347,2005-2014,1009
2004-2013,1347,2005-2014,1362
2004-2013,1498,2005-2014,1388
2004-2013,1513,2005-2014,1410
2005-2014,740,2006-2015,832
2005-2014,900,2006-2015,1108
2005-2014,1009,2006-2015,1089
2005-2014,1009,2006-2015,1234
2005-2014,1009,2006-2015,1456
2005-2014,1014,2006-2015,1067
2005-2014,1123,2006-2015,1158
2005-2014,1362,2006-2015,1456
2005-2014,1410,2006-2015,1529
2006-2015,1089,2007-2016,1108
2006-2015,1108,2007-2016,1305
2006-2015,1158,2007-2016,1220
2006-2015,1234,2007-2016,1108
2006-2015,1234,2007-2016,1510
2006-2015,1442,2007-2016,1507
2006-2015,1456,2007-2016,1510
2007-2016,1108,2008-2017,1115
2007-2016,1305,2008-2017,1361
2007-2016,1507,2008-2017,1568
2007-2016,1510,2008-2017,1574
2008-2017,1115,2009-2018,1197
2008-2017,1115,2009-2018,1239
2008-2017,1115,2009-2018,1276
2008-2017,1361,2009-2018,1287
2008-2017,1568,2009-2018,1509
2008-2017,1574,2009-2018,1276
2009-2018,1197,2010-2019,1163
2009-2018,1197,2010-2019,1169
2009-2018,1239,2010-2019,1169
2009-2018,1266,2010-2019,1228
2009-2018,1276,2010-2019,1163
2009-2018,1276,2010-2019,1235
2009-2018,1276,2010-2019,1256
2009-2018,1287,2010-2019,1238
2009-2018,1509,2010-2019,1447
2009-2018,1625,2010-2019,1500
2010-2019,1163,2011-2020,1080
2010-2019,1169,2011-2020,1080
2010-2019,1235,2011-2020,1080
2010-2019,1235,2011-2020,1327
2010-2019,1238,2011-2020,1277
2010-2019,1256,2011-2020,1294
2010-2019,1256,2011-2020,1327
2010-2019,1447,2011-2020,1593
