window_a,cluster_a,window_b,cluster_b
2001-2010,69,2002-2011,68
2001-2010,149,2002-2011,153
2001-2010,695,2002-2011,682
2001-2010,1060,2002-2011,943
2001-2010,1209,2002-2011,1164
2001-2010,1309,2002-2011,1296
2002-2011,153,2003-2012,160
2002-2011,586,2003-2012,604
2002-2011,682,2003-2012,718
2002-2011,943,2003-2012,943
2002-2011,1078,2003-2012,1066
2002-2011,1164,2003-2012,1184
2003-2012,718,2004-2013,722
2003-2012,943,2004-2013,1024
2003-2012,943,2004-2013,1070
2003-2012,1184,2004-2013,1234
2003-2012,1184,2004-2013,1712
2003-2012,1709,2004-2013,1712
2004-2013,722,2005-2014,709
2004-2013,851,2005-2014,857
2004-2013,1024,2005-2014,857
2004-2013,1070,2005-2014,857
2004-2013,1234,2005-2014,1132
2004-2013,1234,2005-2014,1282
2004-2013,1517,2005-2014,1610
2004-2013,1692,2005-2014,1708
2004-2013,1737,2005-2014,1700
2004-2013,1816,2005-2014,1803
2005-2014,155,2006-2015,166
2005-2014,254,2006-2015,217
2005-2014,857,2006-2015,838
2005-2014,1132,2006-2015,1203
2005-2014,1132,2006-2015,1226
2005-2014,1282,2006-2015,1226
2005-2014,1708,2006-2015,1652
2005-2014,1715,2006-2015,1636
2005-2014,1784,2006-2015,1727
2005-2014,1803,2006-2015,1915
2006-2015,166,2007-2016,139
2006-2015,217,2007-2016,245
2006-2015,217,2007-2016,329
2006-2015,838,2007-2016,817
2006-2015,838,2007-2016,1014
2006-2015,1203,2007-2016,1063
2006-2015,1226,2007-2016,1063
2006-2015,1636,2007-2016,1787
2006-2015,1652,2007-2016,1631
2006-2015,1727,2007-2016,1722
2006-2015,1727,2007-2016,1828
2007-2016,139,2008-2017,120
2007-2016,245,2008-2017,330
2007-2016,329,2008-2017,330
2007-2016,728,2008-2017,761
2007-2016,817,2008-2017,921
2007-2016,817,2008-2017,1027
2007-2016,983,2008-2017,1022
2007-2016,983,2008-2017,1200
2007-2016,1014,2008-2017,1027
2007-2016,1014,2008-2017,1132
2007-2016,1063,2008-2017,1200
2007-2016,1631,2008-2017,1600
2007-2016,1722,2008-2017,1642
2008-2017,120,2009-2018,159
2008-2017,330,2009-2018,260
2008-2017,921,2009-2018,936
2008-2017,921,2009-2018,1033
2008-2017,1022,2009-2018,1219
2008-2017,1027,2009-2018,936
2008-2017,1027,2009-2018,1033
2008-2017,1132,2009-2018,936
2008-2017,1200,2009-2018,1219
2008-2017,1317,2009-2018,1336
2008-2017,1523,2009-2018,1469
2008-2017,1600,2009-2018,1589
2008-2017,1642,2009-2018,1614
2008-2017,1656,2009-2018,1653
2009-2018,159,2010-2019,103
2009-2018,769,2010-2019,747
2009-2018,769,2010-2019,832
2009-2018,936,2010-2019,832
2009-2018,1033,2010-2019,832
2009-2018,1219,2010-2019,925
2009-2018,1336,2010-2019,1293
2009-2018,1589,2010-2019,1678
2009-2018,1614,2010-2019,1643
2009-2018,1653,2010-2019,1601
2009-2018,1694,2010-2019,1653
2010-2019,69,2011-2020,110
2010-2019,103,2011-2020,110
2010-2019,723,2011-2020,766
2010-2019,723,2011-2020,801
2010-2019,747,2011-2020,784
2010-2019,832,2011-2020,784
2010-2019,925,2011-2020,1224
2010-2019,1293,2011-2020,1466
2010-2019,1601,2011-2020,1678
2010-2019,1643,2011-2020,1600
2010-2019,1653,2011-2020,1678
2010-2019,1678,2011-2020,1600
