overlap_count,pixel_count,percentage
1,5146,48.27392120075047
2,2169,20.347091932457786
3,1362,12.776735459662289
4,619,5.806754221388368
5,485,4.549718574108818
6,362,3.395872420262664
7,223,2.0919324577861165
8,169,1.5853658536585367
9,75,0.7035647279549718
10,32,0.300187617260788
11,18,0.16885553470919323
