window_a,cluster_a,window_b,cluster_b
2002-2011,1285,2003-2012,1104
2002-2011,1550,2003-2012,1528
2002-2011,1615,2003-2012,1528
2003-2012,1141,2004-2013,1133
2003-2012,1315,2004-2013,1316
2003-2012,1528,2004-2013,1428
2003-2012,1621,2004-2013,1560
2004-2013,893,2005-2014,872
2004-2013,1316,2005-2014,1307
2004-2013,1509,2005-2014,1554
2004-2013,1560,2005-2014,1538
2005-2014,1307,2006-2015,1265
2005-2014,1554,2006-2015,1507
2005-2014,1654,2006-2015,1502
2006-2015,1265,2007-2016,1219
2006-2015,1336,2007-2016,1219
2006-2015,1336,2007-2016,1285
2006-2015,1502,2007-2016,1494
2006-2015,1611,2007-2016,1602
2007-2016,158,2008-2017,152
2007-2016,1219,2008-2017,1331
2007-2016,1285,2008-2017,1331
2007-2016,1564,2008-2017,1557
2007-2016,1564,2008-2017,1607
2008-2017,152,2009-2018,161
2008-2017,277,2009-2018,228
2008-2017,1331,2009-2018,1229
2008-2017,1557,2009-2018,1547
2008-2017,1607,2009-2018,1547
2009-2018,161,2010-2019,167
2009-2018,1229,2010-2019,1272
2009-2018,1547,2010-2019,1501
2009-2018,1547,2010-2019,1567
2010-2019,167,2011-2020,169
2010-2019,994,2011-2020,1053
2010-2019,1272,2011-2020,1277
2010-2019,1501,2011-2020,1336
2010-2019,1567,2011-2020,1336
2010-2019,1578,2011-2020,1671
