time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,7065,1944,2,291,0.5661698898789836
2002-2011,2002,2011,51398,6755,1941,4,486,0.945562084127787
2003-2012,2003,2012,51398,7312,1909,6,678,1.3191174753881474
2004-2013,2004,2013,51398,8308,1987,9,1350,2.6265613447994087
2005-2014,2005,2014,51398,8135,1923,7,1033,2.0098058290205842
2006-2015,2006,2015,51398,8393,1934,7,1262,2.45534845713841
2007-2016,2007,2016,51398,8319,1891,8,1503,2.924238297210008
2008-2017,2008,2017,51398,7878,1938,6,1092,2.1245962877932993
2009-2018,2009,2018,51398,7905,1946,5,791,1.5389703879528387
2010-2019,2010,2019,51398,8113,1933,6,1114,2.167399509708549
2011-2020,2011,2020,51398,8235,1930,8,1512,2.941748706175338
