,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,117,0,0,0,0,0,0,0,0,0,0
GID_2,174,0,0,0,0,0,0,0,0,0,0
GID_3,0,108,0,0,0,0,0,0,0,0,0
GID_4,0,131,146,0,0,0,0,0,0,0,0
GID_5,0,247,113,194,0,0,0,0,0,0,0
GID_6,0,0,101,104,0,0,0,0,0,0,0
GID_7,0,0,105,189,154,324,412,332,149,119,115
GID_8,0,0,112,103,126,0,0,0,0,0,0
GID_9,0,0,101,0,0,0,0,0,0,0,0
GID_10,0,0,0,195,0,0,0,0,0,0,0
GID_11,0,0,0,113,0,0,0,0,0,0,0
GID_12,0,0,0,153,147,0,0,0,0,0,0
GID_13,0,0,0,106,0,0,0,0,0,0,0
GID_14,0,0,0,193,197,237,0,0,0,0,0
GID_15,0,0,0,0,131,0,0,0,0,0,0
GID_16,0,0,0,0,112,0,0,0,0,0,0
GID_17,0,0,0,0,166,236,185,0,0,0,0
GID_18,0,0,0,0,0,156,0,0,0,0,0
GID_19,0,0,0,0,0,141,0,0,0,0,0
GID_20,0,0,0,0,0,168,138,0,0,0,0
GID_21,0,0,0,0,0,0,103,0,0,0,0
GID_22,0,0,0,0,0,0,381,264,271,276,239
GID_23,0,0,0,0,0,0,148,0,0,0,0
GID_24,0,0,0,0,0,0,136,261,136,282,356
GID_25,0,0,0,0,0,0,0,101,113,0,0
GID_26,0,0,0,0,0,0,0,134,0,0,0
GID_27,0,0,0,0,0,0,0,0,122,0,0
GID_28,0,0,0,0,0,0,0,0,0,170,111
GID_29,0,0,0,0,0,0,0,0,0,267,256
GID_30,0,0,0,0,0,0,0,0,0,0,184
GID_31,0,0,0,0,0,0,0,0,0,0,106
GID_32,0,0,0,0,0,0,0,0,0,0,145
