time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,13736,2085,19,3871,7.531421456087785
2002-2011,2002,2011,51398,11811,2224,13,1751,3.40674734425464
2003-2012,2003,2012,51398,13248,2167,21,2984,5.805673372504767
2004-2013,2004,2013,51398,12117,2294,11,1378,2.6810381726915447
2005-2014,2005,2014,51398,11951,2330,9,1472,2.8639246663294293
2006-2015,2006,2015,51398,12005,2301,11,1594,3.10128798785945
2007-2016,2007,2016,51398,11896,2280,13,1981,3.854235573368613
2008-2017,2008,2017,51398,12090,2272,13,2190,4.260866181563485
2009-2018,2009,2018,51398,12260,2272,13,2396,4.661659986769913
2010-2019,2010,2019,51398,12776,2270,14,2642,5.14027783182225
2011-2020,2011,2020,51398,13079,2185,17,3653,7.107280438927585
