,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,103,0,0,0,0,0,0,0,0,0,0
GID_2,670,203,294,270,415,0,0,0,0,0,0
GID_3,181,0,0,0,0,0,0,0,0,0,0
GID_4,257,191,301,101,130,109,0,0,0,0,0
GID_5,114,0,0,0,0,0,0,0,0,0,0
GID_6,136,119,0,0,0,0,0,0,0,0,0
GID_7,127,0,0,0,0,0,0,0,0,0,0
GID_8,160,141,135,0,0,0,0,0,0,0,0
GID_9,351,0,0,0,0,0,0,0,0,0,0
GID_10,117,0,0,0,0,0,0,0,0,0,0
GID_11,555,390,401,0,0,0,0,0,0,0,0
GID_12,111,0,0,0,0,0,0,0,0,0,0
GID_13,406,274,257,140,0,0,0,0,0,0,0
GID_14,194,0,0,0,0,0,0,0,0,0,0
GID_15,143,0,0,0,0,0,0,0,0,0,0
GID_16,120,0,0,0,0,0,0,0,0,0,0
GID_17,126,0,0,0,0,0,0,0,0,0,0
GID_18,0,141,330,206,298,218,461,564,455,274,139
GID_19,0,106,0,0,0,0,0,0,0,0,0
GID_20,0,186,218,150,0,0,0,0,0,0,0
GID_21,0,0,115,0,0,0,0,0,0,0,0
GID_22,0,0,111,0,0,0,0,0,0,0,0
GID_23,0,0,105,169,0,0,0,0,0,0,0
GID_24,0,0,111,0,0,0,0,0,0,0,0
GID_25,0,0,133,0,0,0,0,0,0,0,0
GID_26,0,0,130,0,0,0,0,0,0,0,0
GID_27,0,0,107,0,0,0,0,0,0,0,0
GID_28,0,0,236,208,190,302,326,149,282,721,892
GID_29,0,0,0,134,133,0,0,0,0,0,0
GID_30,0,0,0,0,196,175,138,0,0,0,0
GID_31,0,0,0,0,110,301,301,506,663,473,836
GID_32,0,0,0,0,0,121,0,0,0,0,0
GID_33,0,0,0,0,0,112,0,0,0,0,0
GID_34,0,0,0,0,0,121,0,0,0,0,0
GID_35,0,0,0,0,0,135,110,214,179,220,170
GID_36,0,0,0,0,0,0,160,104,0,0,0
GID_37,0,0,0,0,0,0,111,0,0,0,0
GID_38,0,0,0,0,0,0,115,366,459,382,474
GID_39,0,0,0,0,0,0,135,0,0,0,0
GID_40,0,0,0,0,0,0,124,0,0,0,0
GID_41,0,0,0,0,0,0,0,153,139,0,0
GID_42,0,0,0,0,0,0,0,134,0,0,0
GID_43,0,0,0,0,0,0,0,0,101,324,165
GID_44,0,0,0,0,0,0,0,0,118,0,0
GID_45,0,0,0,0,0,0,0,0,0,113,328
GID_46,0,0,0,0,0,0,0,0,0,135,0
GID_47,0,0,0,0,0,0,0,0,0,0,132
GID_48,0,0,0,0,0,0,0,0,0,0,145
GID_49,0,0,0,0,0,0,0,0,0,0,126
GID_50,0,0,0,0,0,0,0,0,0,0,132
GID_51,0,0,0,0,0,0,0,0,0,0,114
