window_a,cluster_a,window_b,cluster_b
2001-2010,122,2002-2011,209
2001-2010,122,2002-2011,400
2001-2010,408,2002-2011,424
2001-2010,671,2002-2011,684
2001-2010,678,2002-2011,685
2001-2010,998,2002-2011,987
2001-2010,998,2002-2011,1423
2001-2010,1147,2002-2011,1258
2001-2010,1198,2002-2011,1131
2001-2010,1198,2002-2011,1258
2001-2010,1379,2002-2011,1696
2002-2011,188,2003-2012,195
2002-2011,209,2003-2012,167
2002-2011,400,2003-2012,410
2002-2011,424,2003-2012,472
2002-2011,424,2003-2012,477
2002-2011,685,2003-2012,693
2002-2011,987,2003-2012,1030
2002-2011,1040,2003-2012,1051
2002-2011,1131,2003-2012,1137
2002-2011,1258,2003-2012,1353
2002-2011,1423,2003-2012,1423
2002-2011,1696,2003-2012,1423
2003-2012,157,2004-2013,245
2003-2012,167,2004-2013,180
2003-2012,195,2004-2013,186
2003-2012,410,2004-2013,422
2003-2012,477,2004-2013,489
2003-2012,892,2004-2013,940
2003-2012,1051,2004-2013,1076
2003-2012,1137,2004-2013,1304
2003-2012,1571,2004-2013,1634
2003-2012,1572,2004-2013,1867
2004-2013,180,2005-2014,171
2004-2013,186,2005-2014,135
2004-2013,245,2005-2014,229
2004-2013,422,2005-2014,396
2004-2013,489,2005-2014,488
2004-2013,1352,2005-2014,1403
2004-2013,1634,2005-2014,1647
2004-2013,1867,2005-2014,1647
2005-2014,135,2006-2015,211
2005-2014,229,2006-2015,211
2005-2014,255,2006-2015,257
2005-2014,488,2006-2015,464
2005-2014,703,2006-2015,690
2005-2014,703,2006-2015,719
2005-2014,1647,2006-2015,1574
2005-2014,1647,2006-2015,1637
2006-2015,211,2007-2016,178
2006-2015,211,2007-2016,224
2006-2015,257,2007-2016,285
2006-2015,690,2007-2016,710
2006-2015,719,2007-2016,745
2006-2015,1574,2007-2016,1639
2006-2015,1574,2007-2016,1708
2006-2015,1637,2007-2016,1639
2006-2015,1637,2007-2016,1708
2006-2015,1772,2007-2016,1533
2007-2016,178,2008-2017,144
2007-2016,178,2008-2017,202
2007-2016,178,2008-2017,309
2007-2016,224,2008-2017,144
2007-2016,224,2008-2017,202
2007-2016,249,2008-2017,240
2007-2016,710,2008-2017,670
2007-2016,1122,2008-2017,987
2007-2016,1533,2008-2017,1474
2007-2016,1639,2008-2017,1850
2007-2016,1708,2008-2017,1850
2008-2017,144,2009-2018,140
2008-2017,309,2009-2018,398
2008-2017,309,2009-2018,447
2008-2017,661,2009-2018,701
2008-2017,670,2009-2018,706
2008-2017,808,2009-2018,706
2008-2017,808,2009-2018,905
2008-2017,912,2009-2018,927
2008-2017,987,2009-2018,1030
2008-2017,987,2009-2018,1078
2008-2017,1045,2009-2018,1078
2008-2017,1474,2009-2018,1500
2008-2017,1850,2009-2018,1589
2009-2018,91,2010-2019,104
2009-2018,91,2010-2019,233
2009-2018,140,2010-2019,155
2009-2018,447,2010-2019,431
2009-2018,701,2010-2019,679
2009-2018,706,2010-2019,681
2009-2018,1030,2010-2019,1010
2009-2018,1078,2010-2019,1111
2009-2018,1500,2010-2019,1413
2009-2018,1589,2010-2019,1226
2009-2018,1589,2010-2019,1605
2010-2019,155,2011-2020,156
2010-2019,233,2011-2020,227
2010-2019,496,2011-2020,448
2010-2019,679,2011-2020,661
2010-2019,679,2011-2020,701
2010-2019,681,2011-2020,661
2010-2019,681,2011-2020,788
2010-2019,1010,2011-2020,1027
2010-2019,1111,2011-2020,1028
2010-2019,1226,2011-2020,1175
2010-2019,1413,2011-2020,1557
2010-2019,1605,2011-2020,1333
2010-2019,1605,2011-2020,1487
2010-2019,1723,2011-2020,1487
