overlap_count,pixel_count,percentage
1,7277,35.461234832610494
2,4287,20.890794795575264
3,3159,15.393986647824178
4,2328,11.344476390039473
5,1508,7.348569757809073
6,974,4.746357389990742
7,530,2.582720140344038
8,242,1.1792797621948248
9,124,0.6042590517031334
10,69,0.3362409239315823
11,23,0.1120803079771941
