,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,121,123,0,0,0,0,0,0,0,0,0
GID_2,328,399,246,135,119,0,0,0,0,0,0
GID_3,101,151,0,0,0,0,0,0,0,0,0
GID_4,118,0,0,0,0,0,0,0,0,0,0
GID_5,401,463,463,133,233,0,0,0,0,0,0
GID_6,726,433,399,189,319,490,402,310,455,455,419
GID_7,146,0,0,0,0,0,0,0,0,0,0
GID_8,3996,3617,3577,2164,1768,1851,1320,1687,1300,1834,2285
GID_9,1761,1456,928,951,504,199,849,993,905,976,778
GID_10,291,266,195,0,0,0,0,0,0,0,0
GID_11,0,105,0,0,0,0,0,0,0,0,0
GID_12,0,334,101,0,0,0,0,0,0,0,0
GID_13,0,122,0,0,0,0,0,0,0,0,0
GID_14,0,103,0,0,0,0,0,0,0,0,0
GID_15,0,0,0,102,138,148,0,0,0,0,0
GID_16,0,0,0,282,166,0,0,0,0,0,0
GID_17,0,0,0,149,124,152,209,355,136,0,0
GID_18,0,0,0,0,119,0,0,0,0,0,0
GID_19,0,0,0,0,104,0,0,0,0,0,0
GID_20,0,0,0,0,103,116,213,107,0,0,0
GID_21,0,0,0,0,116,0,0,0,0,0,0
GID_22,0,0,0,0,219,145,0,0,0,0,0
GID_23,0,0,0,0,0,114,256,804,685,656,561
GID_24,0,0,0,0,0,121,0,0,0,0,0
GID_25,0,0,0,0,0,0,114,113,192,0,0
GID_26,0,0,0,0,0,0,0,109,0,0,0
GID_27,0,0,0,0,0,0,0,112,0,0,0
GID_28,0,0,0,0,0,0,0,119,0,0,0
GID_29,0,0,0,0,0,0,0,0,106,0,0
GID_30,0,0,0,0,0,0,0,0,254,0,0
GID_31,0,0,0,0,0,0,0,0,102,0,0
GID_32,0,0,0,0,0,0,0,0,137,117,153
GID_33,0,0,0,0,0,0,0,0,0,152,0
GID_34,0,0,0,0,0,0,0,0,0,226,349
GID_35,0,0,0,0,0,0,0,0,0,120,153
GID_36,0,0,0,0,0,0,0,0,0,106,0
GID_37,0,0,0,0,0,0,0,0,0,120,122
GID_38,0,0,0,0,0,0,0,0,0,118,253
GID_39,0,0,0,0,0,0,0,0,0,0,115
GID_40,0,0,0,0,0,0,0,0,0,0,127
GID_41,0,0,0,0,0,0,0,0,0,0,145
GID_42,0,0,0,0,0,0,0,0,0,0,102
