time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,15054,1683,16,7989,15.543406358224054
2002-2011,2002,2011,51398,14611,1661,20,7572,14.732090742830461
2003-2012,2003,2012,51398,13960,1670,13,5909,11.49655628623682
2004-2013,2004,2013,51398,12271,1759,14,4105,7.9866920891863495
2005-2014,2005,2014,51398,12064,1790,19,4032,7.844663216467566
2006-2015,2006,2015,51398,12024,1850,14,3336,6.490524923148761
2007-2016,2007,2016,51398,12222,1845,17,3363,6.543056150044749
2008-2017,2008,2017,51398,12764,1883,24,4709,9.161835090859567
2009-2018,2009,2018,51398,12130,1863,18,4272,8.311607455543017
2010-2019,2010,2019,51398,12564,1766,19,4880,9.494532861200824
2011-2020,2011,2020,51398,13202,1722,21,5562,10.821432740573563
