window_a,cluster_a,window_b,cluster_b
2001-2010,19,2002-2011,19
2001-2010,126,2002-2011,111
2001-2010,234,2002-2011,243
2001-2010,425,2002-2011,380
2001-2010,708,2002-2011,677
2001-2010,708,2002-2011,798
2001-2010,1060,2002-2011,921
2001-2010,1060,2002-2011,1079
2001-2010,1060,2002-2011,1144
2001-2010,1060,2002-2011,1288
2001-2010,1074,2002-2011,1056
2001-2010,1099,2002-2011,1056
2001-2010,1349,2002-2011,1056
2001-2010,1349,2002-2011,1313
2001-2010,1400,2002-2011,1313
2001-2010,1400,2002-2011,1383
2001-2010,1400,2002-2011,1433
2001-2010,1412,2002-2011,1365
2001-2010,1425,2002-2011,1383
2001-2010,1429,2002-2011,1313
2001-2010,1429,2002-2011,1462
2001-2010,1496,2002-2011,1313
2001-2010,1496,2002-2011,1462
2002-2011,111,2003-2012,106
2002-2011,380,2003-2012,394
2002-2011,380,2003-2012,490
2002-2011,677,2003-2012,724
2002-2011,798,2003-2012,724
2002-2011,921,2003-2012,951
2002-2011,1014,2003-2012,1161
2002-2011,1056,2003-2012,1048
2002-2011,1079,2003-2012,951
2002-2011,1144,2003-2012,1094
2002-2011,1288,2003-2012,1277
2002-2011,1313,2003-2012,1048
2002-2011,1313,2003-2012,1333
2002-2011,1313,2003-2012,1450
2002-2011,1365,2003-2012,1380
2002-2011,1383,2003-2012,1333
2002-2011,1383,2003-2012,1382
2002-2011,1433,2003-2012,1333
2002-2011,1462,2003-2012,1450
2003-2012,106,2004-2013,123
2003-2012,394,2004-2013,367
2003-2012,490,2004-2013,367
2003-2012,724,2004-2013,741
2003-2012,951,2004-2013,956
2003-2012,951,2004-2013,1140
2003-2012,951,2004-2013,1451
2003-2012,1048,2004-2013,1153
2003-2012,1048,2004-2013,1330
2003-2012,1094,2004-2013,1093
2003-2012,1277,2004-2013,1093
2003-2012,1333,2004-2013,1434
2003-2012,1382,2004-2013,1434
2004-2013,97,2005-2014,91
2004-2013,123,2005-2014,198
2004-2013,356,2005-2014,343
2004-2013,367,2005-2014,497
2004-2013,410,2005-2014,343
2004-2013,741,2005-2014,692
2004-2013,741,2005-2014,743
2004-2013,956,2005-2014,914
2004-2013,956,2005-2014,1104
2004-2013,1093,2005-2014,1121
2004-2013,1093,2005-2014,1253
2004-2013,1140,2005-2014,1104
2004-2013,1140,2005-2014,1354
2004-2013,1153,2005-2014,1172
2004-2013,1434,2005-2014,1423
2004-2013,1451,2005-2014,1354
2004-2013,1505,2005-2014,1581
2005-2014,91,2006-2015,107
2005-2014,692,2006-2015,780
2005-2014,743,2006-2015,780
2005-2014,795,2006-2015,827
2005-2014,1104,2006-2015,1172
2005-2014,1104,2006-2015,1377
2005-2014,1104,2006-2015,1405
2005-2014,1111,2006-2015,1208
2005-2014,1121,2006-2015,1198
2005-2014,1253,2006-2015,1454
2005-2014,1354,2006-2015,1377
2005-2014,1354,2006-2015,1405
2005-2014,1354,2006-2015,1537
2005-2014,1423,2006-2015,1606
2005-2014,1581,2006-2015,1598
2006-2015,381,2007-2016,457
2006-2015,780,2007-2016,755
2006-2015,780,2007-2016,797
2006-2015,827,2007-2016,752
2006-2015,1172,2007-2016,1148
2006-2015,1198,2007-2016,1247
2006-2015,1377,2007-2016,1148
2006-2015,1377,2007-2016,1384
2006-2015,1377,2007-2016,1529
2006-2015,1405,2007-2016,1148
2006-2015,1405,2007-2016,1529
2006-2015,1454,2007-2016,1446
2006-2015,1537,2007-2016,1529
2006-2015,1537,2007-2016,1624
2006-2015,1598,2007-2016,1637
2006-2015,1606,2007-2016,1550
2007-2016,242,2008-2017,101
2007-2016,242,2008-2017,188
2007-2016,242,2008-2017,260
2007-2016,457,2008-2017,367
2007-2016,752,2008-2017,788
2007-2016,755,2008-2017,734
2007-2016,797,2008-2017,827
2007-2016,1094,2008-2017,1096
2007-2016,1148,2008-2017,1321
2007-2016,1152,2008-2017,1145
2007-2016,1203,2008-2017,1147
2007-2016,1203,2008-2017,1227
2007-2016,1203,2008-2017,1494
2007-2016,1247,2008-2017,1317
2007-2016,1384,2008-2017,1422
2007-2016,1384,2008-2017,1444
2007-2016,1446,2008-2017,1499
2007-2016,1529,2008-2017,1444
2007-2016,1550,2008-2017,1508
2007-2016,1624,2008-2017,1422
2007-2016,1624,2008-2017,1444
2007-2016,1637,2008-2017,1535
2007-2016,1673,2008-2017,1535
2008-2017,101,2009-2018,132
2008-2017,188,2009-2018,132
2008-2017,260,2009-2018,284
2008-2017,367,2009-2018,396
2008-2017,478,2009-2018,396
2008-2017,734,2009-2018,724
2008-2017,827,2009-2018,724
2008-2017,827,2009-2018,907
2008-2017,1096,2009-2018,1088
2008-2017,1145,2009-2018,1307
2008-2017,1227,2009-2018,1277
2008-2017,1278,2009-2018,1274
2008-2017,1317,2009-2018,1259
2008-2017,1422,2009-2018,1307
2008-2017,1422,2009-2018,1424
2008-2017,1444,2009-2018,1424
2008-2017,1494,2009-2018,1277
2008-2017,1508,2009-2018,1274
2008-2017,1508,2009-2018,1537
2008-2017,1535,2009-2018,1407
2009-2018,132,2010-2019,100
2009-2018,284,2010-2019,100
2009-2018,396,2010-2019,100
2009-2018,396,2010-2019,330
2009-2018,724,2010-2019,705
2009-2018,907,2010-2019,897
2009-2018,907,2010-2019,920
2009-2018,1259,2010-2019,1258
2009-2018,1274,2010-2019,1246
2009-2018,1277,2010-2019,1218
2009-2018,1277,2010-2019,1350
2009-2018,1307,2010-2019,1176
2009-2018,1400,2010-2019,1386
2009-2018,1424,2010-2019,1176
2009-2018,1577,2010-2019,1529
2010-2019,100,2011-2020,103
2010-2019,100,2011-2020,467
2010-2019,245,2011-2020,286
2010-2019,245,2011-2020,391
2010-2019,330,2011-2020,356
2010-2019,330,2011-2020,467
