time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,14618,1815,24,5624,10.94206000233472
2002-2011,2002,2011,51398,14718,1892,26,6358,12.37013113350714
2003-2012,2003,2012,51398,14737,1963,24,5468,10.638546246935679
2004-2013,2004,2013,51398,13501,2037,22,3979,7.741546363671738
2005-2014,2005,2014,51398,13441,2020,22,4382,8.525623565119265
2006-2015,2006,2015,51398,13313,2044,23,3927,7.640375111872057
2007-2016,2007,2016,51398,13334,2018,19,3756,7.307677341530799
2008-2017,2008,2017,51398,13453,2012,25,4200,8.171524183820383
2009-2018,2009,2018,51398,13209,1988,18,4414,8.587882796995991
2010-2019,2010,2019,51398,13601,1919,22,5324,10.358379703490408
2011-2020,2011,2020,51398,14038,2006,17,5600,10.895365578427176
