window_a,cluster_a,window_b,cluster_b
2001-2010,277,2002-2011,376
2001-2010,277,2002-2011,413
2001-2010,365,2002-2011,376
2001-2010,394,2002-2011,413
2001-2010,415,2002-2011,435
2001-2010,641,2002-2011,665
2001-2010,658,2002-2011,678
2001-2010,686,2002-2011,703
2001-2010,731,2002-2011,703
2001-2010,928,2002-2011,964
2001-2010,928,2002-2011,1184
2001-2010,979,2002-2011,1048
2001-2010,979,2002-2011,1310
2001-2010,991,2002-2011,1051
2001-2010,1014,2002-2011,1005
2001-2010,1014,2002-2011,1088
2001-2010,1054,2002-2011,1208
2001-2010,1170,2002-2011,1005
2001-2010,1170,2002-2011,1538
2001-2010,1170,2002-2011,1540
2001-2010,1272,2002-2011,1410
2001-2010,1273,2002-2011,1483
2001-2010,1326,2002-2011,1396
2001-2010,1414,2002-2011,1051
2001-2010,1414,2002-2011,1310
2001-2010,1425,2002-2011,1340
2002-2011,176,2003-2012,142
2002-2011,376,2003-2012,322
2002-2011,376,2003-2012,408
2002-2011,413,2003-2012,454
2002-2011,435,2003-2012,408
2002-2011,435,2003-2012,481
2002-2011,659,2003-2012,657
2002-2011,659,2003-2012,734
2002-2011,678,2003-2012,734
2002-2011,703,2003-2012,715
2002-2011,745,2003-2012,763
2002-2011,964,2003-2012,977
2002-2011,1005,2003-2012,888
2002-2011,1005,2003-2012,1162
2002-2011,1005,2003-2012,1452
2002-2011,1005,2003-2012,1511
2002-2011,1048,2003-2012,1025
2002-2011,1051,2003-2012,1038
2002-2011,1051,2003-2012,1504
2002-2011,1088,2003-2012,1162
2002-2011,1310,2003-2012,1504
2002-2011,1340,2003-2012,1418
2002-2011,1396,2003-2012,1460
2002-2011,1483,2003-2012,1517
2002-2011,1538,2003-2012,1162
2002-2011,1538,2003-2012,1589
2002-2011,1538,2003-2012,1694
2002-2011,1540,2003-2012,1452
2002-2011,1540,2003-2012,1511
2003-2012,142,2004-2013,323
2003-2012,322,2004-2013,323
2003-2012,408,2004-2013,323
2003-2012,408,2004-2013,487
2003-2012,454,2004-2013,445
2003-2012,481,2004-2013,487
2003-2012,657,2004-2013,714
2003-2012,734,2004-2013,819
2003-2012,763,2004-2013,714
2003-2012,888,2004-2013,1066
2003-2012,977,2004-2013,927
2003-2012,1025,2004-2013,1061
2003-2012,1038,2004-2013,1052
2003-2012,1038,2004-2013,1284
2003-2012,1038,2004-2013,1460
2003-2012,1162,2004-2013,1207
2003-2012,1162,2004-2013,1545
2003-2012,1162,2004-2013,1672
2003-2012,1288,2004-2013,1477
2003-2012,1418,2004-2013,1477
2003-2012,1452,2004-2013,1715
2003-2012,1452,2004-2013,1826
2003-2012,1460,2004-2013,1432
2003-2012,1504,2004-2013,1460
2003-2012,1511,2004-2013,1715
2003-2012,1517,2004-2013,1532
2003-2012,1589,2004-2013,1672
2003-2012,1694,2004-2013,1672
2004-2013,323,2005-2014,376
2004-2013,714,2005-2014,586
2004-2013,714,2005-2014,674
2004-2013,819,2005-2014,705
2004-2013,1052,2005-2014,1088
2004-2013,1061,2005-2014,1156
2004-2013,1066,2005-2014,1109
2004-2013,1284,2005-2014,1088
2004-2013,1284,2005-2014,1286
2004-2013,1432,2005-2014,1416
2004-2013,1432,2005-2014,1549
2004-2013,1460,2005-2014,1088
2004-2013,1460,2005-2014,1647
2004-2013,1477,2005-2014,1439
2004-2013,1532,2005-2014,1412
2004-2013,1545,2005-2014,1384
2004-2013,1545,2005-2014,1612
2004-2013,1672,2005-2014,1612
2004-2013,1715,2005-2014,1633
2004-2013,1715,2005-2014,1668
2004-2013,1826,2005-2014,1633
2005-2014,305,2006-2015,222
2005-2014,376,2006-2015,209
2005-2014,376,2006-2015,455
2005-2014,504,2006-2015,455
2005-2014,586,2006-2015,642
2005-2014,586,2006-2015,679
2005-2014,674,2006-2015,642
2005-2014,705,2006-2015,679
2005-2014,705,2006-2015,749
2005-2014,705,2006-2015,810
2005-2014,780,2006-2015,726
2005-2014,1088,2006-2015,1009
2005-2014,1088,2006-2015,1170
2005-2014,1156,2006-2015,1170
2005-2014,1286,2006-2015,1340
2005-2014,1349,2006-2015,1477
2005-2014,1384,2006-2015,1477
2005-2014,1384,2006-2015,1583
2005-2014,1384,2006-2015,1696
2005-2014,1412,2006-2015,1412
2005-2014,1416,2006-2015,1395
2005-2014,1416,2006-2015,1594
2005-2014,1439,2006-2015,1669
2005-2014,1549,2006-2015,1395
2005-2014,1549,2006-2015,1594
2005-2014,1612,2006-2015,1583
2005-2014,1633,2006-2015,1477
2005-2014,1633,2006-2015,1696
2005-2014,1647,2006-2015,1629
2005-2014,1668,2006-2015,1758
2005-2014,1668,2006-2015,1866
