,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,120,0,0,0,0,0,0,0,0,0,0
GID_2,553,663,848,432,247,378,353,538,508,475,181
GID_3,166,0,0,0,0,0,0,0,0,0,0
GID_4,305,235,0,0,0,0,0,0,0,0,0
GID_5,271,498,519,269,681,699,559,592,483,647,635
GID_6,283,272,312,0,0,0,0,0,0,0,0
GID_7,131,0,0,0,0,0,0,0,0,0,0
GID_8,161,596,196,192,0,0,0,0,0,0,0
GID_9,627,955,892,721,892,597,262,552,262,424,482
GID_10,1581,1523,1564,946,1345,1130,1541,1203,1577,1454,1878
GID_11,189,265,0,0,0,0,0,0,0,0,0
GID_12,133,0,0,0,0,0,0,0,0,0,0
GID_13,239,0,0,0,0,0,0,0,0,0,0
GID_14,284,188,0,0,0,0,0,0,0,0,0
GID_15,203,130,168,153,202,156,0,0,0,0,0
GID_16,187,406,356,595,326,243,425,787,1137,1136,1533
GID_17,191,259,509,330,438,292,229,163,0,0,0
GID_18,0,102,0,0,0,0,0,0,0,0,0
GID_19,0,125,0,0,0,0,0,0,0,0,0
GID_20,0,141,0,0,0,0,0,0,0,0,0
GID_21,0,0,104,0,0,0,0,0,0,0,0
GID_22,0,0,0,117,0,0,0,0,0,0,0
GID_23,0,0,0,115,0,0,0,0,0,0,0
GID_24,0,0,0,109,0,0,0,0,0,0,0
GID_25,0,0,0,0,113,106,131,0,0,0,0
GID_26,0,0,0,0,138,0,0,0,0,0,0
GID_27,0,0,0,0,0,176,150,0,0,0,0
GID_28,0,0,0,0,0,150,106,0,0,0,0
GID_29,0,0,0,0,0,0,0,103,127,234,186
GID_30,0,0,0,0,0,0,0,127,0,0,0
GID_31,0,0,0,0,0,0,0,135,0,0,0
GID_32,0,0,0,0,0,0,0,0,101,132,149
GID_33,0,0,0,0,0,0,0,0,116,0,0
GID_34,0,0,0,0,0,0,0,0,103,119,0
GID_35,0,0,0,0,0,0,0,0,0,178,0
GID_36,0,0,0,0,0,0,0,0,0,114,125
GID_37,0,0,0,0,0,0,0,0,0,101,0
GID_38,0,0,0,0,0,0,0,0,0,115,0
GID_39,0,0,0,0,0,0,0,0,0,195,107
GID_40,0,0,0,0,0,0,0,0,0,0,113
GID_41,0,0,0,0,0,0,0,0,0,0,103
GID_42,0,0,0,0,0,0,0,0,0,0,108
