time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3187,1491,0,0,0.0
2002-2011,2002,2011,51398,3162,1477,1,173,0.33658897233355384
2003-2012,2003,2012,51398,3555,1623,1,173,0.33658897233355384
2004-2013,2004,2013,51398,3291,1577,0,0,0.0
2005-2014,2005,2014,51398,3445,1549,0,0,0.0
2006-2015,2006,2015,51398,3334,1602,0,0,0.0
2007-2016,2007,2016,51398,3257,1568,0,0,0.0
2008-2017,2008,2017,51398,3231,1586,0,0,0.0
2009-2018,2009,2018,51398,3171,1549,0,0,0.0
2010-2019,2010,2019,51398,3119,1455,0,0,0.0
2011-2020,2011,2020,51398,3067,1470,0,0,0.0
