time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3684,1416,0,0,0.0
2002-2011,2002,2011,51398,3467,1450,1,137,0.2665473364722363
2003-2012,2003,2012,51398,3357,1396,2,281,0.5467138799175065
2004-2013,2004,2013,51398,4088,1523,2,314,0.6109187127903809
2005-2014,2005,2014,51398,4409,1489,2,332,0.6459395307210397
2006-2015,2006,2015,51398,4577,1548,3,452,0.879411650258765
2007-2016,2007,2016,51398,4456,1534,1,175,0.34048017432584926
2008-2017,2008,2017,51398,4565,1521,2,303,0.5895171018327561
2009-2018,2009,2018,51398,4451,1463,3,544,1.0584069419043542
2010-2019,2010,2019,51398,4788,1462,3,639,1.2432390365383867
2011-2020,2011,2020,51398,4674,1483,3,535,1.040896532939025
