,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,831,664,526,0,0,0,0,0,0,0,0
GID_2,157,0,0,0,0,0,0,0,0,0,0
GID_3,207,298,162,379,290,110,0,0,0,0,0
GID_4,207,146,130,148,0,0,0,0,0,0,0
GID_5,570,482,385,165,346,506,457,479,456,510,522
GID_6,113,0,0,0,0,0,0,0,0,0,0
GID_7,1083,1016,859,741,453,102,703,815,792,676,570
GID_8,110,440,0,0,0,0,0,0,0,0,0
GID_9,694,533,613,227,217,256,121,179,116,0,0
GID_10,118,157,141,0,0,0,0,0,0,0,0
GID_11,341,335,170,0,0,0,0,0,0,0,0
GID_12,0,123,0,0,0,0,0,0,0,0,0
GID_13,0,0,0,101,0,0,0,0,0,0,0
GID_14,0,0,0,0,129,0,0,0,0,0,0
GID_15,0,0,0,0,376,214,709,831,618,858,778
GID_16,0,0,0,0,105,0,0,0,0,0,0
GID_17,0,0,0,0,161,138,0,0,0,0,0
GID_18,0,0,0,0,120,0,0,0,0,0,0
GID_19,0,0,0,0,163,0,0,0,0,0,0
GID_20,0,0,0,0,136,0,0,0,0,0,0
GID_21,0,0,0,0,0,168,0,0,0,0,0
GID_22,0,0,0,0,0,126,0,0,0,0,0
GID_23,0,0,0,0,0,106,165,457,253,101,168
GID_24,0,0,0,0,0,119,135,117,0,0,0
GID_25,0,0,0,0,0,268,243,291,221,204,369
GID_26,0,0,0,0,0,0,120,331,227,348,441
GID_27,0,0,0,0,0,0,0,173,170,0,0
GID_28,0,0,0,0,0,0,0,0,0,112,0
GID_29,0,0,0,0,0,0,0,0,0,182,158
GID_30,0,0,0,0,0,0,0,0,0,232,123
GID_31,0,0,0,0,0,0,0,0,0,0,142
GID_32,0,0,0,0,0,0,0,0,0,0,146
