time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,12495,1818,16,4431,8.620958013930503
2002-2011,2002,2011,51398,11912,1881,18,4194,8.159850577843496
2003-2012,2003,2012,51398,11893,1886,11,2986,5.809564574497062
2004-2013,2004,2013,51398,9674,1897,6,1761,3.4262033542161174
2005-2014,2005,2014,51398,9904,1922,14,2496,4.856220086384684
2006-2015,2006,2015,51398,9969,1914,12,2113,4.1110549048601115
2007-2016,2007,2016,51398,10622,1923,14,2653,5.1616794427798744
2008-2017,2008,2017,51398,11156,1834,16,3673,7.146192458850539
2009-2018,2009,2018,51398,10820,1846,13,2853,5.550799642009417
2010-2019,2010,2019,51398,11179,1886,13,3223,6.270672010584069
2011-2020,2011,2020,51398,11485,1880,12,3417,6.648118603836725
