time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,2537,1237,0,0,0.0
2002-2011,2002,2011,51398,2717,1230,1,121,0.2354177205338729
2003-2012,2003,2012,51398,2881,1293,0,0,0.0
2004-2013,2004,2013,51398,3129,1342,0,0,0.0
2005-2014,2005,2014,51398,3514,1395,0,0,0.0
2006-2015,2006,2015,51398,3734,1357,1,160,0.3112961593836336
2007-2016,2007,2016,51398,3320,1362,0,0,0.0
2008-2017,2008,2017,51398,3714,1460,0,0,0.0
2009-2018,2009,2018,51398,3665,1344,0,0,0.0
2010-2019,2010,2019,51398,3725,1352,3,361,0.7023619596093233
2011-2020,2011,2020,51398,3542,1344,3,435,0.8463364333242539
