window_a,cluster_a,window_b,cluster_b
2001-2010,539,2002-2011,555
2001-2010,668,2002-2011,723
2001-2010,1024,2002-2011,1113
2001-2010,1480,2002-2011,1510
2002-2011,555,2003-2012,550
2002-2011,701,2003-2012,694
2002-2011,723,2003-2012,715
2002-2011,739,2003-2012,724
2002-2011,1113,2003-2012,1079
2002-2011,1195,2003-2012,1184
2002-2011,1441,2003-2012,1391
2003-2012,550,2004-2013,542
2003-2012,694,2004-2013,667
2003-2012,715,2004-2013,691
2003-2012,724,2004-2013,719
2003-2012,888,2004-2013,855
2003-2012,1079,2004-2013,1020
2003-2012,1079,2004-2013,1185
2003-2012,1184,2004-2013,1027
2003-2012,1329,2004-2013,1256
2003-2012,1391,2004-2013,1339
2004-2013,542,2005-2014,553
2004-2013,667,2005-2014,685
2004-2013,691,2005-2014,728
2004-2013,719,2005-2014,762
2004-2013,855,2005-2014,872
2004-2013,996,2005-2014,1179
2004-2013,1020,2005-2014,1056
2004-2013,1027,2005-2014,1079
2004-2013,1090,2005-2014,1139
2005-2014,553,2006-2015,552
2005-2014,685,2006-2015,682
2005-2014,728,2006-2015,702
2005-2014,762,2006-2015,739
2005-2014,872,2006-2015,702
2005-2014,1079,2006-2015,1039
2005-2014,1179,2006-2015,1124
2006-2015,552,2007-2016,578
2006-2015,682,2007-2016,720
2006-2015,702,2007-2016,726
2006-2015,1039,2007-2016,1116
2006-2015,1124,2007-2016,1203
2006-2015,1124,2007-2016,1357
2007-2016,720,2008-2017,704
2007-2016,726,2008-2017,710
2007-2016,897,2008-2017,899
2007-2016,1096,2008-2017,1111
2007-2016,1116,2008-2017,1275
2007-2016,1357,2008-2017,1484
2007-2016,1755,2008-2017,1573
2008-2017,704,2009-2018,764
2008-2017,710,2009-2018,753
2008-2017,1111,2009-2018,1154
2008-2017,1275,2009-2018,1095
2008-2017,1484,2009-2018,1377
2008-2017,1484,2009-2018,1544
2008-2017,1588,2009-2018,1604
2009-2018,753,2010-2019,728
2009-2018,764,2010-2019,658
2009-2018,1095,2010-2019,1023
2009-2018,1154,2010-2019,1107
2009-2018,1377,2010-2019,1291
2009-2018,1544,2010-2019,1291
2009-2018,1544,2010-2019,1513
2010-2019,658,2011-2020,658
2010-2019,728,2011-2020,760
2010-2019,988,2011-2020,1032
2010-2019,1023,2011-2020,1018
2010-2019,1107,2011-2020,1089
2010-2019,1291,2011-2020,1248
2010-2019,1291,2011-2020,1485
2010-2019,1347,2011-2020,1367
2010-2019,1347,2011-2020,1594
2010-2019,1513,2011-2020,1485
2010-2019,1521,2011-2020,1562
