time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,8670,2091,6,966,1.8794505622786877
2002-2011,2002,2011,51398,8844,2153,10,1937,3.768629129538114
2003-2012,2003,2012,51398,8817,2102,9,1529,2.9748239231098488
2004-2013,2004,2013,51398,9309,2050,13,2298,4.470991089147438
2005-2014,2005,2014,51398,9133,2050,13,2171,4.2238997626366785
2006-2015,2006,2015,51398,9142,2064,6,1155,2.2471691505506053
2007-2016,2007,2016,51398,9411,2077,11,1799,3.5001361920697303
2008-2017,2008,2017,51398,9556,2075,10,1524,2.9650959181291103
2009-2018,2009,2018,51398,9727,2112,8,1464,2.8483598583602476
2010-2019,2010,2019,51398,9744,2078,10,1722,3.3503249153663566
2011-2020,2011,2020,51398,9632,2114,14,2138,4.159694929763804
