time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,7964,2021,11,1932,3.7589011245573754
2002-2011,2002,2011,51398,7649,1929,8,1543,3.0020623370559165
2003-2012,2003,2012,51398,7603,2029,9,1899,3.694696291684502
2004-2013,2004,2013,51398,8084,1976,5,1663,3.2355344565936415
2005-2014,2005,2014,51398,8073,1968,9,2350,4.572162340947119
2006-2015,2006,2015,51398,7959,1974,5,1836,3.572123428927196
2007-2016,2007,2016,51398,7814,1943,5,1909,3.7141523016459788
2008-2017,2008,2017,51398,7451,1962,4,1288,2.5059340830382504
2009-2018,2009,2018,51398,7477,1895,6,1700,3.307521693451107
2010-2019,2010,2019,51398,7507,1937,7,1710,3.326977703412584
2011-2020,2011,2020,51398,7247,1909,10,1753,3.4106385462469357
