,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,211,187,169,0,0,0,0,0,0,0,0
GID_2,424,462,692,771,828,794,1081,741,876,802,799
GID_3,341,300,159,132,193,139,0,0,0,0,0
GID_4,505,342,603,621,864,903,703,547,657,743,567
GID_5,113,0,0,0,0,0,0,0,0,0,0
GID_6,224,110,131,139,123,0,0,0,0,0,0
GID_7,114,0,0,0,0,0,0,0,0,0,0
GID_8,0,142,0,0,0,0,0,0,0,0,0
GID_9,0,0,145,0,0,0,0,0,0,0,0
GID_10,0,0,0,0,109,0,0,0,0,0,0
GID_11,0,0,0,0,233,0,0,0,0,0,0
GID_12,0,0,0,0,0,0,125,0,0,0,0
GID_13,0,0,0,0,0,0,0,0,167,165,276
GID_14,0,0,0,0,0,0,0,0,0,0,111
