overlap_count,pixel_count,percentage
1,2212,35.144582141722275
2,1135,18.033047346679375
3,813,12.917063870352715
4,578,9.183349221480777
5,522,8.293612964728313
6,352,5.592627899586908
7,242,3.8449316809659995
8,200,3.1776294884016525
9,117,1.8589132507149668
10,72,1.1439466158245948
11,51,0.8102955195424213
