window_a,cluster_a,window_b,cluster_b
2001-2010,31,2002-2011,29
2001-2010,52,2002-2011,57
2001-2010,156,2002-2011,140
2001-2010,454,2002-2011,324
2001-2010,902,2002-2011,924
2001-2010,1068,2002-2011,1139
2001-2010,1323,2002-2011,924
2002-2011,29,2003-2012,65
2002-2011,140,2003-2012,145
2002-2011,324,2003-2012,463
2002-2011,655,2003-2012,703
2002-2011,924,2003-2012,923
2002-2011,1139,2003-2012,1204
2002-2011,1160,2003-2012,1194
2003-2012,65,2004-2013,36
2003-2012,145,2004-2013,135
2003-2012,463,2004-2013,356
2003-2012,703,2004-2013,628
2003-2012,923,2004-2013,918
2003-2012,1194,2004-2013,1125
2003-2012,1194,2004-2013,1192
2003-2012,1204,2004-2013,1081
2004-2013,36,2005-2014,36
2004-2013,135,2005-2014,154
2004-2013,356,2005-2014,402
2004-2013,628,2005-2014,664
2004-2013,918,2005-2014,939
2004-2013,1028,2005-2014,1198
2004-2013,1028,2005-2014,1325
2004-2013,1081,2005-2014,1049
2004-2013,1081,2005-2014,1206
2004-2013,1125,2005-2014,1068
2004-2013,1125,2005-2014,1217
2004-2013,1192,2005-2014,1217
2005-2014,36,2006-2015,27
2005-2014,69,2006-2015,56
2005-2014,634,2006-2015,618
2005-2014,664,2006-2015,730
2005-2014,695,2006-2015,618
2005-2014,939,2006-2015,965
2005-2014,1049,2006-2015,972
2005-2014,1049,2006-2015,1225
2005-2014,1198,2006-2015,1200
2005-2014,1205,2006-2015,1225
2005-2014,1206,2006-2015,972
2005-2014,1206,2006-2015,1225
2005-2014,1325,2006-2015,1200
2006-2015,27,2007-2016,36
2006-2015,56,2007-2016,77
2006-2015,618,2007-2016,622
2006-2015,730,2007-2016,645
2006-2015,965,2007-2016,975
2006-2015,965,2007-2016,1275
2006-2015,972,2007-2016,1063
2006-2015,1200,2007-2016,1221
2006-2015,1225,2007-2016,1063
2006-2015,1225,2007-2016,1197
2007-2016,36,2008-2017,25
2007-2016,77,2008-2017,82
2007-2016,415,2008-2017,383
2007-2016,975,2008-2017,958
2007-2016,975,2008-2017,961
2007-2016,975,2008-2017,1139
2007-2016,1063,2008-2017,1168
2007-2016,1063,2008-2017,1269
2007-2016,1197,2008-2017,1269
2007-2016,1221,2008-2017,1253
2007-2016,1275,2008-2017,1139
2007-2016,1275,2008-2017,1319
2008-2017,25,2009-2018,36
2008-2017,82,2009-2018,89
2008-2017,958,2009-2018,946
2008-2017,961,2009-2018,919
2008-2017,1139,2009-2018,919
2008-2017,1139,2009-2018,946
2008-2017,1139,2009-2018,1260
2008-2017,1168,2009-2018,1097
2008-2017,1253,2009-2018,1222
2008-2017,1269,2009-2018,1097
2008-2017,1319,2009-2018,1260
2009-2018,89,2010-2019,75
2009-2018,919,2010-2019,921
2009-2018,946,2010-2019,978
2009-2018,1097,2010-2019,1075
2009-2018,1097,2010-2019,1215
2009-2018,1189,2010-2019,1215
2009-2018,1222,2010-2019,1264
2009-2018,1222,2010-2019,1390
2009-2018,1260,2010-2019,1296
2010-2019,75,2011-2020,58
2010-2019,921,2011-2020,1047
2010-2019,978,2011-2020,925
2010-2019,1075,2011-2020,1026
2010-2019,1215,2011-2020,1026
2010-2019,1264,2011-2020,1176
2010-2019,1296,2011-2020,1047
2010-2019,1296,2011-2020,1272
2010-2019,1390,2011-2020,1176
2010-2019,1664,2011-2020,1613
