overlap_count,pixel_count,percentage
1,3039,36.16995953344442
2,1730,20.59033563437277
3,1261,15.008331349678647
4,840,9.997619614377529
5,638,7.593430135681981
6,436,5.189240656986431
7,229,2.725541537729112
8,117,1.3925255891454416
9,64,0.7617233991906689
10,40,0.476077124494168
11,8,0.09521542489883361
