,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.13241972410381764,0.25981641437443864
1,"arid_[2.0, 3.0)",-0.14223569754487586,0.0029726612002860683
2,"arid_[3.0, 6.0)",-0.20222859273991475,0.10542890703167813
3,"arid_[6.0, 12.0)",0.0026609609384062663,0.962867486206514
4,"arid_[12.0, 18.0)",-0.008818160862330551,0.908070413521868
5,"arid_[18.0, 24.0)",0.015944223046001488,0.6512394306422955
6,"arid_[24.0, 48.0)",0.20225754305889357,0.001215040603471304
7,"boreal_[1.0, 2.0)",-0.019131855389952455,0.7583718833335842
8,"boreal_[2.0, 3.0)",-0.047372913004649006,0.33831910127200265
9,"boreal_[3.0, 6.0)",0.033221325235151686,0.46635067925616935
10,"boreal_[6.0, 12.0)",0.1185162415834498,0.0029999826627378295
11,"boreal_[12.0, 18.0)",-0.09246449384033889,0.15858199905227544
12,"boreal_[18.0, 24.0)",-0.047234857360362995,0.2568385406946719
13,"boreal_[24.0, 48.0)",0.05446655277670069,0.5905677261476807
14,"equatorial_[1.0, 2.0)",0.04395134696176823,0.557669534223046
15,"equatorial_[2.0, 3.0)",0.030741584471173904,0.36198423126440127
16,"equatorial_[3.0, 6.0)",-0.0015560919004747702,0.9813662273645078
17,"equatorial_[6.0, 12.0)",0.10120219334106154,0.1284486172380806
18,"equatorial_[12.0, 18.0)",-0.0494534412012432,0.21230112200095777
19,"equatorial_[18.0, 24.0)",-0.06128199515494457,0.05831490078006809
20,"equatorial_[24.0, 48.0)",-0.06360359651734308,0.5813135738936357
21,"ocean_[1.0, 2.0)",-0.9955658170215219,0.08810595200909704
22,"ocean_[2.0, 3.0)",1.8217837822449285,0.09247635765891042
23,"ocean_[3.0, 6.0)",-0.28708199050542077,0.7433408104762125
24,"ocean_[6.0, 12.0)",-0.622333105275462,0.5173612158356633
25,"ocean_[12.0, 18.0)",0.914886738427469,0.056342964302717374
26,"ocean_[18.0, 24.0)",0.26580809337371336,0.4575845636466803
27,"ocean_[24.0, 48.0)",-1.0974977012437084,0.21450520852974156
28,"polar_[1.0, 2.0)",0.23399121996065625,0.07782920830736575
29,"polar_[2.0, 3.0)",0.14828898582562156,0.002687735945771357
30,"polar_[3.0, 6.0)",0.09820281400058917,0.16317725917183604
31,"polar_[6.0, 12.0)",-0.0720946700291586,0.47510670246877496
32,"polar_[12.0, 18.0)",0.04023553521566147,0.558888017866858
33,"polar_[18.0, 24.0)",0.07971768565371161,0.21192807827728172
34,"polar_[24.0, 48.0)",-0.5283415706270849,0.00877638447788138
35,"warm_temperate_[1.0, 2.0)",0.12028572041108565,0.18626389229791665
36,"warm_temperate_[2.0, 3.0)",-0.08755532424726915,0.009170204633490296
37,"warm_temperate_[3.0, 6.0)",-0.12026807903607206,0.05574638470814539
38,"warm_temperate_[6.0, 12.0)",-0.1220808556087083,0.08848922587599885
39,"warm_temperate_[12.0, 18.0)",-0.127562151333126,0.21076358826981464
40,"warm_temperate_[18.0, 24.0)",0.06911597210908817,0.07257525405430906
41,"warm_temperate_[24.0, 48.0)",0.2680647177050002,0.0010597910379706644
