,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.4843525302812927,0.00047771957779251185
1,"arid_[2.0, 3.0)",0.04876917137402659,0.38133000613086654
2,"arid_[3.0, 6.0)",-0.21537657339158658,0.009106207964924342
3,"arid_[6.0, 12.0)",-0.035765694224092724,0.45767376089371636
4,"arid_[12.0, 18.0)",-0.11024999063241389,0.1686823256619956
5,"arid_[18.0, 24.0)",-0.03035864491689655,0.3498369927623348
6,"arid_[24.0, 48.0)",-0.14137079849033335,0.018961335075330016
7,"boreal_[1.0, 2.0)",-0.13915526853644328,0.03354358515405603
8,"boreal_[2.0, 3.0)",0.007824061721039806,0.630956142446472
9,"boreal_[3.0, 6.0)",-0.09543371885763165,0.05963217801554815
10,"boreal_[6.0, 12.0)",0.00829400091356819,0.8237600221643817
11,"boreal_[12.0, 18.0)",-0.07688205026810452,0.056475461868088175
12,"boreal_[18.0, 24.0)",0.005287607993343518,0.8599436735454776
13,"boreal_[24.0, 48.0)",0.29006536703422586,0.003419219604963336
14,"equatorial_[1.0, 2.0)",-0.12785403015433405,0.1346252719140684
15,"equatorial_[2.0, 3.0)",-0.10946474500836971,0.0016989690631954233
16,"equatorial_[3.0, 6.0)",-0.26768217263811583,0.004438226980351103
17,"equatorial_[6.0, 12.0)",0.031574965394568374,0.7295930674512416
18,"equatorial_[12.0, 18.0)",0.12897994080763453,0.08861723334102756
19,"equatorial_[18.0, 24.0)",0.16348852883723022,0.004051905340022281
20,"equatorial_[24.0, 48.0)",0.18095751276138405,0.10174277916818196
21,"ocean_[1.0, 2.0)",0.15321087262617616,0.8440667919959522
22,"ocean_[2.0, 3.0)",0.446220196814074,0.630637061369399
23,"ocean_[3.0, 6.0)",0.3841734903864899,0.69672548693327
24,"ocean_[6.0, 12.0)",0.3223837155225529,0.659727909405865
25,"ocean_[12.0, 18.0)",-0.2582311427124472,0.6266231429667299
26,"ocean_[18.0, 24.0)",0.21621969225403295,0.6863657703112798
27,"ocean_[24.0, 48.0)",-1.2639768248908807,0.05141054062619237
28,"polar_[1.0, 2.0)",0.05560322666112883,0.21536739439018243
29,"polar_[2.0, 3.0)",0.022100825244754416,0.6198295227476575
30,"polar_[3.0, 6.0)",-0.03420155101028907,0.5155358492764004
31,"polar_[6.0, 12.0)",0.03508834949930706,0.6878390706782725
32,"polar_[12.0, 18.0)",0.21202618409402124,0.0021910315714658932
33,"polar_[18.0, 24.0)",0.04614532970978534,0.2200159190633202
34,"polar_[24.0, 48.0)",-0.3367623641987106,0.0039937906149252
35,"warm_temperate_[1.0, 2.0)",-0.16753476317947716,0.1951643446859541
36,"warm_temperate_[2.0, 3.0)",0.07152209504198911,0.16488055539525034
37,"warm_temperate_[3.0, 6.0)",-0.17913714182315482,0.002800844808027687
38,"warm_temperate_[6.0, 12.0)",-0.1306470087603308,0.006683364987006966
39,"warm_temperate_[12.0, 18.0)",0.05469951920514947,0.49061452277919027
40,"warm_temperate_[18.0, 24.0)",0.1532461661368844,0.013561578551258955
41,"warm_temperate_[24.0, 48.0)",0.19785113337893995,0.03087920943131039
