time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3703,1553,1,207,0.402739406202576
2002-2011,2002,2011,51398,3896,1564,1,107,0.20817930658780498
2003-2012,2003,2012,51398,4021,1624,1,120,0.23347211953772523
2004-2013,2004,2013,51398,3724,1517,1,136,0.26460173547608856
2005-2014,2005,2014,51398,3600,1517,0,0,0.0
2006-2015,2006,2015,51398,3536,1587,0,0,0.0
2007-2016,2007,2016,51398,3838,1589,1,147,0.2860033464337134
2008-2017,2008,2017,51398,3794,1521,1,247,0.48056344604848433
2009-2018,2009,2018,51398,3822,1541,1,156,0.30351375539904274
2010-2019,2010,2019,51398,3498,1488,0,0,0.0
2011-2020,2011,2020,51398,3645,1541,0,0,0.0
