time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,8484,2511,2,251,0.4883458500330752
2002-2011,2002,2011,51398,9180,2570,4,723,1.4066695202147943
2003-2012,2003,2012,51398,8699,2578,3,447,0.8696836452780264
2004-2013,2004,2013,51398,8765,2599,4,742,1.443635939141601
2005-2014,2005,2014,51398,8642,2568,4,619,1.2043270166154325
2006-2015,2006,2015,51398,8377,2557,3,420,0.8171524183820382
2007-2016,2007,2016,51398,8586,2471,2,345,0.67123234367096
2008-2017,2008,2017,51398,8710,2475,4,626,1.2179462235884664
2009-2018,2009,2018,51398,8426,2533,3,451,0.8774660492626173
2010-2019,2010,2019,51398,8281,2549,2,272,0.5292034709521771
2011-2020,2011,2020,51398,8266,2458,2,340,0.6615043386902214
