,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,108,181,165,164,116,0,0,0,0,0,0
GID_2,143,183,167,140,176,156,190,192,158,0,0
GID_3,0,145,0,0,0,0,0,0,0,0,0
GID_4,0,214,115,245,198,147,0,0,0,0,0
GID_5,0,0,0,193,0,0,0,0,0,0,0
GID_6,0,0,0,0,129,0,0,0,0,0,0
GID_7,0,0,0,0,0,117,0,0,0,0,0
GID_8,0,0,0,0,0,0,155,0,0,0,0
GID_9,0,0,0,0,0,0,0,138,0,0,0
GID_10,0,0,0,0,0,0,0,106,0,0,0
GID_11,0,0,0,0,0,0,0,190,160,139,0
GID_12,0,0,0,0,0,0,0,0,133,133,216
GID_13,0,0,0,0,0,0,0,0,0,0,124
